ISO,pho,con,son,obs,vow,mon,qua,ton,fam,genus,geoLat,geoLong,pop,logPop
fun,30,18,8,10,12,12,7,0,macg,YatÃª,-9:0,#VALUE!,2930,3.46686762
fuq,37,27,12,15,10,10,5,0,ncon,,15:00,7:00,450000,5.653212514
fur,39,25,7,18,14,14,7,0,ieur,,46:00:00,13:00,794000,5.899820502
fuu,41,31,13,18,10,7,7,0,nsah,Bongo-Bagirmi,4:20,20:40,12000,4.079181246
fvr,30,19,8,11,11,11,8,0,nsah,Fur,13:00,25:00:00,5.00E+05,5.698970004
fwa,35,19,8,11,16,15,8,0,anes,Oceanic,#VALUE!,164:55:00,1130,3.053078443
fwe,59,49,15,34,10,10,5,0,ncon,,#VALUE!,25:20:00,10200,4.008600172
gaa,47,32,13,19,12,12,7,3,ncon,Kwa,5:40,0:10,6.00E+05,5.77815125
gaj,19,9,3,6,6,6,3,4,trng,Eastern Highlands,#VALUE!,146:00:00,22100,4.344392274
gay,27,19,8,11,8,8,8,0,anes,Gayo,4:30,97:00:00,3.00E+05,5.477121255
gbc,22,19,13,6,3,3,3,0,aust,Garrwan,#VALUE!,137:40:00,110,2.041392685
gbd,20,17,12,5,3,3,3,0,aust,Pama-Nyungan,#VALUE!,122:10:00,12,1.079181246
gbo,36,19,7,12,13,13,7,4,ncon,,5:15,-8:0,84500,4.926856709
gbp,45,31,15,16,12,12,7,2,ncon,Ubangi,6:40,17:30,2.00E+05,5.301029996
gbr,26,20,6,14,6,6,5,0,ncon,Nupoid,9:35,7:00,7.00E+05,5.84509804
gby,31,24,5,19,7,7,7,0,ncon,Nupoid,8:45,7:00,350000,5.544068044
gde,36,30,12,18,4,4,4,2,afas,Biu-Mandara,10:10,13:25,68000,4.832508913
gej,44,27,7,20,14,14,7,3,ncon,,6:15,1:45,201000,5.303196057
gid,38,28,9,19,8,8,8,2,afas,Biu-Mandara,10:00,14:00,54000,4.73239376
gio,43,31,17,14,12,7,7,0,taik,Kadai,,,3000,3.477121255
gjn,39,23,8,15,14,14,7,2,ncon,,8:50,0:45,230000,5.361727836
gju,50,32,10,22,18,18,4,0,ieur,Indic,32:45:00,76:15:00,690000,5.838849091
gkp,35,27,8,19,8,8,8,0,ncon,,8:00,-9:0,308000,5.488550717
gld,24,18,9,9,6,6,6,0,altc,Tungusic,49:30:00,136:50:00,3890,3.589949601
gle,68,44,21,23,24,24,9,0,ieur,Celtic,53:30:00,#VALUE!,260000,5.414973348
glg,28,21,10,11,7,7,7,0,ieur,Romance,43:00:00,-8:0,3170000,6.501059262
gmm,37,28,13,15,7,7,7,2,ncon,Ubangi,,,20000,4.301029996
gmo,29,24,14,10,5,5,5,0,afas,North Omotic,6:40,37:10:00,4.00E+05,5.602059991
gnd,34,29,11,18,2,2,2,3,afas,,10:50,14:05,26000,4.414973348
gng,39,22,9,13,14,14,7,3,ncon,,10:25,0:50,46000,4.662757832
god,42,26,8,18,13,13,13,3,ncon,Kru,5:30,#VALUE!,26400,4.421603927
grg,54,45,20,25,9,9,9,0,trng,,#VALUE!,146:25:00,380,2.579783597
grt,26,21,10,11,5,5,5,0,sitb,Bodo-Garo,25:40:00,90:30:00,780000,5.892094603
gub,21,14,6,8,7,7,7,0,tupi,Tupi-GuaranÃ_,#VALUE!,#VALUE!,15000,4.176091259
guc,46,28,10,18,18,18,6,0,arwk,Arawakan,11:30,#VALUE!,135000,5.130333768
gug,36,24,9,15,12,12,6,0,tupi,Tupi-GuaranÃ_,26:00:00,56:00:00,4650000,6.667452953
guh,29,17,5,12,12,12,6,0,guah,Guahiban,5:00,-69:0,23000,4.361727836
gum,24,18,7,11,6,6,6,0,barb,Barbacoan,2:30,#VALUE!,23500,4.371067862
gup,24,19,13,6,5,5,5,0,aust,Gunwinygic,#VALUE!,133:30:00,1410,3.149219113
guq,21,11,6,5,10,10,5,0,tupi,Tupi-GuaranÃ_,#VALUE!,#VALUE!,1360,3.133538908
gux,33,20,8,12,10,10,5,3,ncon,Gur,12:00,1:00,6.00E+05,5.77815125
gvc,24,16,3,13,6,6,6,2,tucn,Tucanoan,1:15,#VALUE!,550,2.740362689
gvf,23,13,6,7,10,10,5,0,trng,Chimbu,#VALUE!,144:50:00,51100,4.7084209
gvn,16,13,10,3,3,3,3,0,aust,Pama-Nyungan,#VALUE!,145:30:00,240,2.380211242
gya,53,30,14,16,19,19,7,4,ncon,Ubangi,6:00,15:00,2.00E+05,5.301029996
hag,29,23,8,15,6,6,6,0,ncon,,9:20,#VALUE!,6800,3.832508913
hak,31,21,8,13,6,6,6,4,sitb,Chinese,25:00:00,116:00:00,25700000,7.409933123
hau,45,32,9,23,10,10,5,3,afas,West Chadic,12:00,6:00,18500000,7.267171728
haw,19,9,4,5,10,10,5,0,anes,Oceanic,20:00,-157:0,1000,3
hay,29,19,6,13,10,10,5,0,ncon,Bantoid,-2:0,31:40:00,1300000,6.113943352
hch,25,15,6,9,10,10,5,0,utaz,Corachol,22:00,-104:0,20000,4.301029996
hdn,50,47,13,34,3,3,3,0,nadn,Haida,54:00:00,-132:0,30,1.477121255
heb,30,24,5,19,6,6,5,0,afas,Semitic,31:45:00,35:10:00,4850000,6.685741739
hin,94,71,16,55,23,19,6,0,ieur,Indic,25:00:00,77:00:00,1.80E+08,8.255272505
hix,23,18,7,11,5,5,5,0,cari,Cariban,0:15,#VALUE!,600,2.77815125
hoa,21,16,5,11,5,5,5,0,anes,Oceanic,#VALUE!,157:30:00,460,2.662757832
hop,49,31,13,18,18,16,5,0,utaz,Hopi,35:45:00,#VALUE!,5260,3.720985744
hrv,36,25,8,17,11,10,5,0,ieur,Slavic,,,3980000,6.599883072
hts,62,57,17,40,5,5,5,0,khoi,Hadza,#VALUE!,35:00:00,800,2.903089987
hum,33,20,7,13,10,10,5,3,ncon,,#VALUE!,18:25,400,2.602059991
hun,65,50,14,36,15,15,8,0,urlc,Ugric,47:00:00,20:00,9550000,6.980003372
hup,42,35,6,29,7,7,4,0,nadn,Athapaskan,41:00:00,-124:0,8,0.903089987
hur,47,32,7,25,12,12,6,3,sali,Central Salish,49:15:00,-122:0,200,2.301029996
hus,36,26,6,20,10,10,5,0,maya,,21:20,#VALUE!,121750,5.08546897
huv,24,18,7,11,6,6,6,0,huav,Huavean,16:10,#VALUE!,12000,4.079181246
hye,37,31,6,25,6,6,6,0,ieur,Armenian,40:00:00,45:00:00,3140000,6.496929648
iai,52,33,14,19,19,19,11,0,anes,Oceanic,#VALUE!,166:35:00,1560,3.193124598
iba,25,19,8,11,6,6,6,0,anes,Malayic,1:00,112:00:00,658000,5.818225894
ibo,65,46,11,35,16,16,8,3,ncon,Igboid,6:00,7:00,1.80E+07,7.255272505
iby,38,25,8,17,10,10,10,3,ncon,,4:25,7:15,60000,4.77815125
ife,34,19,4,15,12,12,7,3,ncon,,8:00,1:45,102000,5.008600172
igb,31,19,7,12,9,9,9,3,ncon,Nupoid,7:15,6:10,1.00E+06,6
ige,38,24,9,15,10,10,10,4,ncon,Idomoid,7:05,8:05,250000,5.397940009
ign,25,21,8,13,4,4,4,0,arwk,Arawakan,#VALUE!,#VALUE!,4500,3.653212514
igo,23,9,2,7,14,14,7,0,trng,,#VALUE!,145:40:00,910,2.959041392
ijc,37,19,7,12,18,18,9,0,ncon,Ijoid,4:50,5:45,1.00E+06,6
ijn,43,22,6,16,18,18,9,3,ncon,,4:30,6:40,258000,5.411619706
ijs,44,24,7,17,18,18,9,2,ncon,,4:30,6:25,71500,4.854306042
ikx,44,31,11,20,13,13,13,0,nsah,Kuliak,3:35,34:20:00,10000,4
ilo,21,17,7,10,4,4,4,0,anes,Northern Philippines,18:00,120:30:00,6920000,6.840106094
imn,23,13,4,9,10,10,10,0,trng,Border,#VALUE!,141:10:00,250,2.397940009
ind,31,22,8,14,9,6,6,0,anes,Malayic,#VALUE!,106:50:00,22800000,7.357934847
inh,48,35,6,29,13,9,6,0,ncau,Nakh,43:10:00,44:50:00,413000,5.615950052
irh,19,12,7,5,7,7,7,0,anes,South Halmahera - West New Guinea,-3:0,133:30:00,4000,3.602059991
irk,48,33,8,25,12,12,7,3,afas,Southern Cushitic,-4:0,35:10:00,462000,5.664641976
irn,39,21,11,10,18,12,6,0,arwk,Arawakan,#VALUE!,#VALUE!,190,2.278753601
isl,39,23,10,13,16,16,8,0,ieur,Germanic,65:00:00,17:00,230000,5.361727836
iso,37,28,9,19,9,9,9,0,ncon,Edoid,5:30,6:15,423000,5.626340367
ita,30,23,8,15,7,7,7,0,ieur,Romance,43:45:00,11:15,5.50E+07,7.740362689
itl,32,27,11,16,5,5,5,0,chka,Southern Chukotko-Kamchatkan,57:00:00,156:50:00,380,2.579783597
ito,25,19,6,13,6,6,6,0,_ito,Itonama,#VALUE!,#VALUE!,10,1
ium,49,35,15,20,8,8,7,6,hmom,Hmong-Mien,20:50,101:10:00,383000,5.583198774
ivv,23,19,8,11,4,4,4,0,anes,Northern Philippines,20:15,121:55:00,35000,4.544068044
iwm,17,11,6,5,6,6,6,0,sepr,Upper Sepik,#VALUE!,141:55:00,3000,3.477121255
izi,51,40,12,28,9,9,9,2,ncon,Igboid,6:15,8:00,593000,5.773054693
jaa,15,11,5,6,4,4,4,0,arau,Arauan,#VALUE!,#VALUE!,480,2.681241237
jac,32,27,7,20,5,5,5,0,maya,Mayan,15:35,#VALUE!,11000,4.041392685
jao,32,29,22,7,3,3,3,0,aust,Pama-Nyungan,#VALUE!,136:00:00,52,1.716003344
jar,39,28,9,19,11,11,11,0,ncon,Bantoid,9:45,10:00,150000,5.176091259
jav,30,22,9,13,8,8,8,0,anes,Javanese,-1:0,101:40:00,84300000,7.925827575
jbj,18,13,3,10,5,5,5,0,trng,South Birds Head,-2:0,132:30:00,1000,3
jeb,23,19,12,7,4,4,4,0,cahu,Cahuapanan,#VALUE!,#VALUE!,2500,3.397940009
jic,28,22,12,10,6,6,6,0,_jic,Tol,14:40,-87:0,350,2.544068044
jiv,24,16,6,10,8,8,4,0,jiva,Jivaroan,#VALUE!,-78:0,46700,4.669316881
jpn,40,27,6,21,11,11,5,2,japo,Japanese,35:00:00,135:00:00,1.21E+08,8.08278537
jqr,39,36,9,27,3,3,3,0,ayma,Aymaran,#VALUE!,#VALUE!,740,2.86923172
jru,24,12,5,7,12,12,6,0,cari,Cariban,10:45,#VALUE!,95,1.977723605
jun,29,19,8,11,10,10,5,0,ausa,Munda,21:20,86:00:00,50000,4.698970004
jup,29,20,4,16,9,9,9,0,maku,Nadahup,0:40,#VALUE!,1210,3.08278537
jya,57,49,16,33,8,8,8,0,sitb,rGyalrong,31:30:00,102:00:00,83000,4.919078092
kab,30,27,3,24,3,3,3,0,afas,Berber,36:30:00,4:30,2540000,6.404833717
kac,30,25,13,12,5,5,5,0,sitb,Jinghpo,25:25:00,97:00:00,9.00E+05,5.954242509
kal,38,32,9,23,6,6,3,0,eska,Eskimo,64:00:00,51:00:00,47800,4.679427897
kas,56,27,6,21,29,29,7,0,ieur,Indic,34:00:00,76:00:00,5420000,6.733999287
kat,35,29,5,24,6,6,5,0,kart,Kartvelian,42:00:00,44:00:00,3900000,6.591064607
kbc,31,23,10,13,8,8,4,0,mgua,Guaicuruan,#VALUE!,#VALUE!,1590,3.201397124
kbd,56,49,5,44,7,7,2,0,ncau,Northwest Caucasian,43:35:00,43:00:00,520000,5.716003344
kbh,28,22,8,14,6,6,6,0,_kbh,CamsÃ¡,1:10,#VALUE!,4770,3.678518379
kbk,16,11,3,8,5,5,5,0,trng,Koiarian,#VALUE!,147:30:00,1700,3.230448921
kbp,47,22,7,15,23,23,14,2,ncon,Gur,8:40,1:00,7.00E+05,5.84509804
kbr,27,22,9,13,5,5,5,0,afas,South Omotic,7:20,36:00:00,570000,5.755874856
kbv,17,11,7,4,6,6,6,0,trng,Senagi,#VALUE!,140:55:00,1000,3
kca,31,18,9,9,13,13,13,0,urlc,Ugric,65:00:00,65:00:00,13600,4.133538908
kcl,30,16,7,9,14,10,5,0,anes,Oceanic,#VALUE!,147:05:00,2150,3.33243846
kde,28,18,7,11,5,5,5,5,ncon,Bantoid,#VALUE!,39:25:00,980000,5.991226076
kdh,36,25,9,16,9,9,9,2,ncon,Gur,9:00,1:00,204000,5.309630167
kdt,47,22,8,14,25,22,11,0,ausa,,14:50,103:55:00,4.00E+05,5.602059991
kek,26,21,5,16,5,5,5,0,maya,Mayan,16:00,-90:0,4.00E+05,5.602059991
ken,41,21,7,14,20,20,10,0,ncon,Bantoid,5:35,9:30,65000,4.812913357
ker,30,24,8,16,6,6,6,0,afas,East Chadic,9:45,15:10,44500,4.648360011
ket,32,18,6,12,14,14,7,0,yeos,Yeniseian,64:00:00,87:00:00,190,2.278753601
kfe,34,23,9,14,11,11,6,0,drav,Southern Dravidian,11:30,77:10:00,900,2.954242509
kff,24,19,7,12,5,5,5,0,drav,South-Central Dravidian,17:30,81:20:00,3.00E+05,5.477121255
kfk,46,31,8,23,15,15,9,0,sitb,Bodic,31:30:00,78:00:00,63800,4.804820679
kgg,38,32,9,23,6,6,6,0,sitb,Kusunda,28:00:00,84:40:00,7,0.84509804
kgp,27,13,7,6,14,14,9,0,macg,Ge-Kaingang,#VALUE!,#VALUE!,25875,4.412880358
kha,28,19,6,13,9,9,8,0,ausa,Khasian,25:30:00,92:00:00,865000,5.937016107
khb,31,22,5,17,9,9,9,0,taik,Kam-Tai,21:05,101:05:00,280000,5.447158031
khc,29,24,12,12,5,5,5,0,anes,Sulawesi,#VALUE!,123:40:00,120000,5.079181246
khk,35,21,6,15,14,14,7,0,altc,Mongolic,47:00:00,105:00:00,2330000,6.367355921
khl,28,18,9,9,10,10,5,0,anes,Oceanic,#VALUE!,149:05:00,2000,3.301029996
khm,42,21,8,13,21,18,8,0,ausa,Khmer,12:30,105:00:00,12300000,7.089905111
khq,36,21,8,13,15,15,5,0,nsah,Songhay,16:15,#VALUE!,2.00E+05,5.301029996
khr,48,38,14,24,10,6,6,0,ausa,Munda,22:30,84:20:00,292000,5.465382851
kig,44,20,7,13,20,18,9,4,trng,Kolopom,-8:0,138:30:00,3000,3.477121255
kik,32,18,11,7,14,14,7,0,ncon,Bantoid,0:30,37:00:00,7180000,6.856124444
kin,49,39,11,28,10,10,5,0,ncon,Bantoid,-2:0,30:00:00,6490000,6.812244697
kio,42,22,4,18,20,12,6,0,kita,Kiowa-Tanoan,34:20:00,#VALUE!,1100,3.041392685
kir,36,20,6,14,16,16,8,0,altc,Turkic,42:00:00,74:00:00,2450000,6.389166084
kjd,19,12,7,5,7,5,5,0,trng,Kiwaian,#VALUE!,143:15:00,9700,3.986771734
kjg,41,23,14,9,18,15,5,0,ausa,Palaung-Khmuic,19:55,101:25:00,390000,5.591064607
kjn,28,23,10,13,5,5,5,0,aust,Pama-Nyungan,#VALUE!,143:30:00,20,1.301029996
kjq,51,39,10,29,12,5,5,0,kere,Keresan,35:00:00,#VALUE!,3390,3.530199698
kjs,20,15,9,6,5,5,5,0,trng,Engan,#VALUE!,143:55:00,45000,4.653212514
kkj,50,33,14,19,13,13,7,4,ncon,,4:20,14:15,1.00E+05,5
kkk,27,22,10,12,5,5,5,0,anes,Oceanic,-8:0,159:10:00,530,2.72427587
kkw,28,21,8,13,7,7,7,0,ncon,Bantoid,#VALUE!,14:30,38800,4.588831726
kla,37,33,14,19,4,4,4,0,penu,Klamath-Modoc,42:30:00,#VALUE!,1,0
kle,43,22,7,15,21,12,6,0,sitb,Bodic,9:10,11:05,18700,4.271841607
klu,27,11,4,7,16,16,9,0,ncon,Kru,5:00,#VALUE!,213000,5.328379603
kma,49,31,13,18,18,18,9,0,ncon,Gur,10:15,#VALUE!,3800,3.579783597
kme,34,27,14,13,7,7,7,0,ncon,,4:25,8:58,300,2.477121255
kmn,18,11,7,4,7,7,7,0,sepr,Ram,#VALUE!,141:55:00,510,2.707570176
kmo,31,24,13,11,7,7,7,0,sepr,Middle Sepik,#VALUE!,142:40:00,3000,3.477121255
kmr,47,30,9,21,17,9,4,0,ieur,Iranian,37:00:00,43:00:00,3950000,6.596597096
kms,29,23,11,12,6,6,6,0,torr,Marienberg,#VALUE!,143:50:00,960,2.982271233
kmw,35,24,9,15,7,7,7,4,ncon,,0:15,26:30:00,4.00E+05,5.602059991
kna,35,24,13,11,11,11,6,0,afas,West Chadic,10:00,12:00,20000,4.301029996
knc,35,25,9,16,6,6,6,4,nsah,Western Saharan,12:00,12:00,3.00E+06,6.477121255
knn,37,19,6,13,18,18,9,0,ieur,Indic,15:15,74:00:00,4.00E+06,6.602059991
kor,40,22,11,11,18,18,10,0,_kor,Korean,37:30:00,128:00:00,4.20E+07,7.62324929
kpk,34,24,6,18,10,10,5,0,ncon,Platoid,7:35,10:10,11400,4.056904851
kpm,37,27,10,17,10,10,10,0,ausa,Bahnaric,11:40,108:00:00,129000,5.11058971
kpr,24,19,9,10,5,5,5,0,trng,Binanderean,#VALUE!,149:10:00,3630,3.559906625
kpv,36,29,8,21,7,7,7,0,urlc,Finnic,65:00:00,55:00:00,217000,5.336459734
kpy,21,16,7,9,5,5,5,0,chka,Northern Chukotko-Kamchatkan,62:30:00,162:00:00,3500,3.544068044
kpz,26,14,11,3,12,12,6,0,nsah,Nilotic,1:20,34:35:00,181000,5.257678575
kqs,42,22,10,12,20,20,7,0,ncon,Southern Atlantic,9:00,-10:0,287000,5.457881897
krs,56,41,14,27,10,10,10,5,nsah,Kresh,8:35,25:00:00,16000,4.204119983
kru,68,46,13,33,22,22,6,0,drav,Northern Dravidian,22:50,85:30:00,2050000,6.311753861
ksi,18,9,2,7,5,5,5,4,skoo,Krisa,#VALUE!,141:20:00,420,2.62324929
ksw,39,27,8,19,9,9,9,3,sitb,Karen,18:00,97:00:00,1280000,6.10720997
ktn,25,11,6,5,14,14,5,0,tupi,Arikem,#VALUE!,#VALUE!,320,2.505149978
kto,19,13,5,8,6,6,6,0,epap,Kuot,#VALUE!,151:30:00,2400,3.380211242
ktz,141,95,21,74,46,24,7,0,khoi,Northern Khoisan,#VALUE!,21:35,5000,3.698970004
kub,46,28,13,15,13,13,7,5,ncon,,7:10,10:00,44600,4.649334859
kuj,22,15,8,7,7,7,7,0,ncon,,#VALUE!,35:00:00,430000,5.633468456
kun,26,19,8,11,7,7,7,0,nsah,Kunama,15:25,36:50:00,187000,5.271841607
kup,20,15,5,10,5,5,5,0,trng,Goilalan,#VALUE!,146:55:00,8200,3.913813852
kus,44,22,8,14,22,22,9,0,ncon,,10:55,0:20,420000,5.62324929
kvn,21,16,9,7,5,5,5,0,chib,Kuna,8:00,#VALUE!,500,2.698970004
kwd,21,16,10,6,5,5,5,0,anes,Oceanic,#VALUE!,160:55:00,13200,4.120573931
kwi,21,14,6,8,7,7,7,0,barb,Barbacoan,1:20,#VALUE!,20000,4.301029996
kwk,55,46,14,32,9,9,6,0,waka,Northern Wakashan,50:55:00,-127:0,190,2.278753601
kxl,39,34,12,22,5,5,5,0,drav,,26:50:00,86:00:00,28600,4.456366033
kxm,43,24,11,13,19,16,3,0,ausa,,14:35,103:15:00,1400000,6.146128036
kxv,37,22,8,14,15,15,5,0,drav,South-Central Dravidian,18:45,82:40:00,350000,5.544068044
kyh,41,27,6,21,11,11,4,3,hoka,Karok,41:40:00,#VALUE!,10,1
kyz,24,14,6,8,10,10,5,0,tupi,Tupi-GuaranÃ_,#VALUE!,#VALUE!,1000,3
kza,45,20,7,13,21,21,7,4,ncon,Gur,10:35,#VALUE!,30200,4.480006943
kzr,40,30,12,18,6,6,6,4,ncon,,7:40,15:00,17000,4.230448921
lag,52,32,17,15,20,20,10,0,ncon,Bantoid,#VALUE!,36:00:00,350000,5.544068044
lao,40,28,9,19,12,9,9,0,taik,Kam-Tai,17:20,105:10:00,3.00E+06,6.477121255
las,53,17,8,9,33,33,11,3,ncon,,10:05,1:00,117000,5.068185862
lbc,59,34,17,17,19,19,5,6,taik,Kadai,24:05:00,110:10:00,12000,4.079181246
lbe,69,60,6,54,9,9,6,0,ncau,Lak-Dargwa,42:00:00,47:00:00,157000,5.195899652
lbj,38,33,8,25,5,5,5,0,sitb,Bodic,34:00:00,78:00:00,150000,5.176091259
lch,42,32,16,16,10,10,5,0,ncon,Bantoid,-13:0,20:15,155000,5.190331698
led,55,43,14,29,8,8,8,4,nsah,Lendu,2:20,30:35:00,750000,5.875061263
lee,44,24,10,14,16,16,8,4,ncon,Gur,12:25,#VALUE!,130000,5.113943352
lef,34,22,7,15,12,12,7,0,ncon,Kwa,7:20,0:35,48900,4.689308859
lem,30,14,7,7,14,14,7,2,ncon,,4:35,10:55,6000,3.77815125
lgg,42,27,11,16,12,12,11,3,nsah,Moru-Madi,3:00,31:00:00,797000,5.901458321
lhu,40,26,6,20,9,9,9,5,sitb,Burmese-Lolo,20:45,100:45:00,280000,5.447158031
lia,24,17,7,10,7,7,7,0,ncon,,9:40,-12:0,335000,5.525044807
lig,38,22,7,15,14,14,7,2,ncon,,7:55,#VALUE!,15000,4.176091259
lin,22,15,7,8,7,7,7,0,ncon,Bantoid,2:00,18:30,2040000,6.309630167
lis,39,25,6,19,8,8,8,6,sitb,Burmese-Lolo,19:30,98:45:00,610000,5.785329835
lit,47,36,9,27,11,11,5,0,ieur,Baltic,55:00:00,24:00:00,2960000,6.471291711
lkt,36,27,4,23,9,9,5,0,siou,Siouan,45:00:00,#VALUE!,6200,3.792391689
lln,36,23,9,14,10,10,5,3,afas,East Chadic,9:10,15:45,26000,4.414973348
lme,38,30,11,19,8,5,5,0,afas,Masa,9:15,14:35,30000,4.477121255
lmp,35,22,7,15,7,7,7,6,ncon,,6:30,10:45,73000,4.86332286
lmw,39,29,6,23,10,10,5,0,penu,Miwok,39:00:00,#VALUE!,2,0.301029996
lns,45,26,8,18,12,12,6,7,ncon,Bantoid,6:10,10:45,125000,5.096910013
lok,25,18,7,11,7,7,7,0,ncon,Western Mande,9:15,-12:0,138000,5.139879086
lom,42,28,8,20,14,14,8,0,ncon,Western Mande,8:00,#VALUE!,165000,5.217483944
lor,38,28,11,17,10,10,10,0,ncon,,10:00,#VALUE!,6100,3.785329835
los,23,16,9,7,7,7,7,0,anes,Oceanic,-2:0,147:25:00,460,2.662757832
lue,36,22,12,10,10,10,5,4,ncon,Bantoid,-14:0,23:00,168000,5.225309282
lug,33,19,7,12,10,10,5,4,ncon,Bantoid,0:30,32:00:00,4130000,6.615950052
lui,34,23,7,16,11,11,6,0,utaz,Takic,33:30:00,-117:0,35,1.544068044
lun,32,22,7,15,10,10,5,0,ncon,Bantoid,-12:0,24:30:00,450000,5.653212514
luo,35,23,8,15,9,9,9,3,nsah,Nilotic,1:20,34:30:00,4270000,6.630427875
lut,37,33,2,31,4,4,4,0,sali,Central Salish,48:20:00,#VALUE!,60,1.77815125
lvk,20,15,6,9,5,5,5,0,epap,Lavukaleve,-9:0,159:00:00,1780,3.250420002
lyn,22,17,7,10,5,5,5,0,ncon,,#VALUE!,23:35,222000,5.346352974
lzz,32,27,4,23,5,5,5,0,kart,Kartvelian,41:30:00,41:30:00,30000,4.477121255
mam,43,33,7,26,10,10,5,0,maya,,15:25,#VALUE!,2.00E+05,5.301029996
maq,38,26,12,14,8,8,4,4,otma,Popolocan,17:45,#VALUE!,2500,3.397940009
mas,43,21,11,10,18,18,9,4,nsah,Nilotic,0:30,37:00:00,590000,5.770852012
maw,32,22,8,14,10,10,5,0,ncon,Gur,10:20,0:55,220000,5.342422681
maz,63,45,15,30,15,15,9,3,otma,Otomian,19:30,-100:0,350000,5.544068044
mbl,20,10,4,6,10,10,5,0,macg,MaxakalÃ_,#VALUE!,#VALUE!,800,2.903089987
mbo,31,20,7,13,7,7,7,4,ncon,,5:00,9:55,45000,4.653212514
mcf,21,15,4,11,6,6,6,0,pano,Panoan,#VALUE!,#VALUE!,1400,3.146128036
mcp,55,30,15,15,21,21,9,4,ncon,Bantoid,3:20,12:10,80000,4.903089987
mcs,54,26,10,16,24,24,10,4,ncon,Adamawa,9:30,13:55,8000,3.903089987
mcu,25,19,7,12,6,6,6,0,ncon,Bantoid,6:30,11:30,30000,4.477121255
mdd,38,30,14,16,8,8,5,0,ncon,Adamawa,7:45,13:10,38600,4.586587305
mde,29,22,10,12,7,7,7,0,nsah,Maban,13:45,21:00,296000,5.471291711
mdj,47,36,16,20,9,9,9,2,nsah,Mangbetu,2:35,27:00:00,620000,5.792391689
mdx,30,24,12,12,6,6,6,0,afas,North Omotic,6:10,35:30:00,21100,4.324282455
mec,24,19,13,6,5,5,5,0,aust,Maran,#VALUE!,135:00:00,15,1.176091259
men,34,23,10,13,7,7,7,4,ncon,Western Mande,8:00,#VALUE!,1480000,6.170261715
mfc,31,24,13,11,7,7,7,0,ncon,Ubangi,1:15,25:10:00,36100,4.557507202
mff,44,36,10,26,8,8,8,0,ncon,,6:45,10:15,3000,3.477121255
mfn,37,28,8,20,7,7,7,2,ncon,,5:50,8:25,1.00E+05,5
mgg,38,29,11,18,7,7,7,2,ncon,,2:00,15:30,45000,4.653212514
mgi,48,29,9,20,16,16,9,3,ncon,,8:30,8:20,50000,4.698970004
mgo,33,20,6,14,8,8,8,5,ncon,,5:55,9:55,87000,4.939519253
mhi,38,24,8,16,10,10,10,4,nsah,Moru-Madi,3:20,31:40:00,296000,5.471291711
mhj,29,24,11,13,5,5,5,0,altc,Mongolic,35:00:00,62:00:00,200,2.301029996
mhk,33,21,7,14,9,9,9,3,ncon,Bantoid,5:35,10:20,50100,4.699837726
mhr,27,19,8,11,8,8,8,0,urlc,Mari,55:30:00,55:40:00,451000,5.654176542
mhz,19,14,10,4,5,5,5,0,anes,South Halmahera - West New Guinea,-3:0,135:40:00,700,2.84509804
mif,44,35,13,22,7,7,5,2,afas,Biu-Mandara,10:30,14:00,60000,4.77815125
mig,32,19,6,13,10,10,5,3,otma,Mixtecan,17:03,#VALUE!,14500,4.161368002
mjg,28,23,10,13,5,5,5,0,altc,Mongolic,36:00:00,102:00:00,152000,5.181843588
mkd,32,26,7,19,6,6,6,0,ieur,Slavic,41:05:00,22:35,1390000,6.1430148
mky,37,32,12,20,5,5,5,0,anes,South Halmahera - West New Guinea,0:15,127:20:00,20000,4.301029996
mla,21,16,10,6,5,5,5,0,anes,Oceanic,#VALUE!,167:10:00,4000,3.602059991
mlf,41,17,8,9,22,18,9,2,ausa,,19:20,101:15:00,23200,4.365487985
mlq,27,20,8,12,7,7,7,0,ncon,Western Mande,13:00,-11:0,422000,5.625312451
mlt,55,45,12,33,10,10,5,0,afas,Semitic,35:55:00,14:25,3.00E+05,5.477121255
mlv,22,15,7,8,7,7,7,0,anes,Oceanic,#VALUE!,167:35:00,2200,3.342422681
mnb,33,28,14,14,5,5,5,0,anes,Sulawesi,-5:0,122:25:00,3.00E+05,5.477121255
mnc,25,18,6,12,7,7,7,0,altc,Tungusic,49:30:00,127:30:00,60,1.77815125
mnf,41,23,8,15,14,14,8,4,ncon,Bantoid,5:40,9:55,34000,4.531478917
mnh,44,33,13,20,8,8,8,3,ncon,,4:00,19:00,65000,4.812913357
mni,33,25,8,17,6,6,6,2,sitb,Kuki-Chin,24:45:00,94:00:00,1370000,6.136720567
mnk,34,19,8,11,10,10,5,5,ncon,Western Mande,12:45,-14:0,669000,5.825426118
moa,39,21,4,17,12,12,7,6,ncon,,7:50,#VALUE!,17000,4.230448921
moc,31,23,8,15,8,8,4,0,mgua,Guaicuruan,-28:0,-61:0,4530,3.656098202
mor,29,22,9,13,7,7,7,0,ncon,Heiban,10:55,30:10:00,30000,4.477121255
mos,43,17,6,11,24,24,8,2,ncon,Gur,12:30,#VALUE!,5.00E+06,6.698970004
mpb,19,14,10,4,5,5,5,0,aust,Northern Daly,#VALUE!,130:45:00,9,0.954242509
