language,WALS code,Family,Lat,Long,normalized.vowel.diversity,normalized.consonant.diversity,normalized.tone.diversity,normalized.phoneme.diversity,ISO,Popn,distance.from.origin
Cree (Plains),cre,Algic,54,-110,-1.2345266,-1.5544112,-0.7687792,-1.185905651,crk,34100,16764.96
Chatino (Sierra Occidental),cso,Oto-Manguean,16.25,-97.33,-0.4846364,-0.7169629,1.86204304,0.220147906,ctp,12000,20912.69
Chin (Tiddim),cti,Sino-Tibetan,23.33,93.67,-0.4846364,0.12048546,1.86204304,0.499297351,ctd,344100,10346.32
Catalan,ctl,Indo-European,41.75,2,1.3900889,0.12048546,-0.7687792,0.247265066,cat,6667328,7632.806
Cubeo,cub,Tucanoan,1.33,-70.5,-0.4846364,-1.5544112,0.54663194,-0.497471906,cub,6150,23712.46
Dadibi,dad,Teberan-Pawaian,-6.55,144.58,-0.4846364,-1.5544112,0.54663194,-0.497471906,mps,10000,16802.56
Dahalo,dah,Afro-Asiatic,-2.33,40.5,-0.4846364,1.79538213,0.54663194,0.619125875,dal,400,3445.195
Dan,dan,Niger-Congo,7.5,-8,1.3900889,0.12048546,1.86204304,1.124205799,daf,951600,2169.916
Darai,dar,Indo-European,24,84,-0.4846364,0.9579338,-0.7687792,-0.098493936,dry,10210,9398.07
Daju (Dar Fur),ddf,Nilo-Saharan,12.25,25.25,-0.4846364,0.12048546,-0.7687792,-0.377643382,daj,143053,2295.878
Dera,der,Senagi,-3.58,141,-0.4846364,-1.5544112,-0.7687792,-0.935942272,kbv,1687,16306.48
Deti,det,Khoisan,-20.5,24.5,-0.4846364,1.79538213,0.54663194,0.619125875,shg,6000,2688.293
Dagbani,dgb,Niger-Congo,9.58,-0.5,-0.4846364,0.12048546,0.54663194,0.060826985,dag,800000,1634.933
Dagur,dgr,Altaic,48,124,1.3900889,0.12048546,-0.7687792,0.247265066,dta,96085,11937.46
Diegue??o (Mesa Grande),die,Hokan,32.67,-116.17,-0.4846364,0.9579338,-0.7687792,-0.098493936,dih,295,18444.9
Dinka,din,Nilo-Saharan,8.5,28,1.3900889,0.12048546,1.86204304,1.124205799,dip,320000,2317.959
Diola-Fogny,dio,Niger-Congo,13,-16,1.3900889,0.12048546,-0.7687792,0.247265066,dyo,358276,3226.359
Dizi,diz,Afro-Asiatic,6.17,36.5,-0.4846364,0.12048546,1.86204304,0.499297351,mdx,21075,3106.859
Djapu,djp,Australian,-12.67,136,-1.2345266,0.12048546,-0.7687792,-0.627606761,duj,500,16336.86
Dani (Lower Grand Valley),dni,Trans-New Guinea,-4.33,138.83,1.3900889,-1.5544112,-0.7687792,-0.311033824,dni,20000,16121.84
Dangal??at (Western),dnw,Afro-Asiatic,12.17,18.33,1.3900889,0.12048546,0.54663194,0.685735432,daa,45000,1781.452
Doyayo,doy,Niger-Congo,8.67,13.08,1.3900889,0.12048546,1.86204304,1.124205799,dow,18000,1171.497
Drehu,dre,Austronesian,-21,167.25,1.3900889,0.9579338,-0.7687792,0.526414511,dhv,11338,19683.04
Dogon (Toro So),dts,Niger-Congo,14.5,-3.33,1.3900889,-0.7169629,0.54663194,0.406585987,dts,50000,2248.478
Dumo,dum,Skou,-2.68,141.3,1.3900889,-1.5544112,1.86204304,0.565906908,vam,2667,16298.52
Dyirbal,dyi,Australian,-17.83,145.58,-1.2345266,-1.5544112,-0.7687792,-1.185905651,dbl,40,17506.48
Efik,efi,Niger-Congo,4.92,8.5,1.3900889,-1.5544112,0.54663194,0.127436542,efi,400000,694.5711
Ejagham,eja,Niger-Congo,5.42,8.67,1.3900889,0.12048546,1.86204304,1.124205799,etu,116675,746.9072
Ekari,eka,Trans-New Guinea,-3.83,135.5,-0.4846364,-1.5544112,0.54663194,-0.497471906,ekg,100000,15766.37
English,eng,Indo-European,52,0,1.3900889,0.12048546,-0.7687792,0.247265066,eng,309582484,7897.817
Epena Pedee,epe,Choco,3,-77,1.3900889,-0.7169629,-0.7687792,-0.031884379,sja,8050,23198.55
Evenki,eve,Altaic,56,125,-0.4846364,-0.7169629,-0.7687792,-0.656792827,evn,29000,11667.79
Even,evn,Altaic,68,130,-0.4846364,-0.7169629,-0.7687792,-0.656792827,eve,7543,11445.09
Ewe,ewe,Niger-Congo,6.33,0.42,1.3900889,0.9579338,0.54663194,0.964884878,ewe,3112400,1313.063
Ewondo,ewo,Niger-Congo,4,12,1.3900889,0.9579338,1.86204304,1.403355244,ewo,577700,646.0998
Eyak,eya,Na-Dene,60.5,-145,-1.2345266,0.9579338,-0.7687792,-0.348457316,eya,1,14717.15
Fasu,fas,Trans-New Guinea,-6.58,143.33,-0.4846364,-1.5544112,0.54663194,-0.497471906,faa,1200,16678.73
Fe'fe',fef,Niger-Congo,5.25,10.17,1.3900889,-0.7169629,1.86204304,0.845056353,fmp,123700,726.1316
Fijian,fij,Austronesian,-17.83,178,-0.4846364,0.12048546,-0.7687792,-0.377643382,fij,334061,20632.27
Finnish,fin,Uralic,62,25,1.3900889,-0.7169629,-0.7687792,-0.031884379,fin,5232728,7737.948
French,fre,Indo-European,48,2,1.3900889,0.12048546,-0.7687792,0.247265066,fra,64858311,7651.918
Fulni??,ful,Macro-Ge,-8,-37.5,1.3900889,0.12048546,0.54663194,0.685735432,fun,2788,27414.04
Fur,fur,Nilo-Saharan,13.5,25,-0.4846364,-0.7169629,0.54663194,-0.218322461,fvr,501800,2366.992
Fuzhou,fuz,Sino-Tibetan,26,119.5,1.3900889,-1.5544112,1.86204304,0.565906908,cdo,9103157,12614.44
Fyem,fye,Niger-Congo,9.58,9.33,-0.4846364,1.79538213,0.54663194,0.619125875,pym,3000,1203.632
G??,ga,Niger-Congo,5.67,-0.17,1.3900889,0.9579338,1.86204304,1.403355244,gaa,600000,1320.201
Great Andamanese,gan,Great Andamanese,12,92.67,1.3900889,-1.5544112,-0.7687792,-0.311033824,apq,24,10777.14
Garo,gar,Sino-Tibetan,25.67,90.5,-0.4846364,-0.7169629,-0.7687792,-0.656792827,grt,677000,9955.409
Gbeya Bossangoa,gbb,Niger-Congo,6.67,17.5,1.3900889,0.9579338,0.54663194,0.964884878,gbp,176000,1249.753
Gadsup,gds,Trans-New Guinea,-6.25,146,-1.2345266,-1.5544112,1.86204304,-0.308964919,gaj,22061,16932.33
Georgian,geo,Kartvelian,42,44,-0.4846364,0.9579338,-0.7687792,-0.098493936,kat,4178604,5922.392
German,ger,Indo-European,52,10,1.3900889,0.12048546,-0.7687792,0.247265066,deu,95392978,7277.99
Gelao,gla,Tai-Kadai,22.92,105.5,1.3900889,0.9579338,1.86204304,1.403355244,gio,3000,11479.69
Gooniyandi,goo,Australian,-18.33,126.33,-1.2345266,0.12048546,-0.7687792,-0.627606761,gni,100,16045.97
Grebo,grb,Niger-Congo,5,-8,1.3900889,0.12048546,1.86204304,1.124205799,gry,23700,2063.092
Greek (Modern),grk,Indo-European,39,22,-0.4846364,0.12048546,-0.7687792,-0.377643382,ell,12258540,6024.787
Garrwa,grr,Australian,-17.08,137.17,-1.2345266,0.12048546,-0.7687792,-0.627606761,gbc,200,16739.59
Greenlandic (West),grw,Eskimo-Aleut,64,-51,-1.2345266,0.12048546,-0.7687792,-0.627606761,kal,54800,18085.53
Guaran??,gua,Tupian,-26,-56,-0.4846364,0.12048546,-0.7687792,-0.377643382,gug,4848000,27074.66
Gwari,gwa,Niger-Congo,9.5,7,-0.4846364,0.12048546,1.86204304,0.499297351,gbr gby,1050000,1226.217
Hadza,had,Hadza,-3.75,35.17,-0.4846364,1.79538213,0.54663194,0.619125875,hts,800,2863.102
Haida,hai,Haida,53,-132,-1.2345266,1.79538213,-0.7687792,-0.06930787,hdn hax,55,15861.48
Hakka,hak,Sino-Tibetan,25,116,-0.4846364,-0.7169629,1.86204304,0.220147906,hak,29937959,12349.67
Hamtai,ham,Trans-New Guinea,-7.5,146.25,1.3900889,-1.5544112,0.54663194,0.127436542,hmt,45000,17013.93
Hausa,hau,Afro-Asiatic,12,7,-0.4846364,0.9579338,0.54663194,0.33997643,hau,24162000,1498.044
Hawaiian,haw,Austronesian,19.58,-155.5,-0.4846364,-1.5544112,-0.7687792,-0.935942272,haw,1000,22535.9
Hebrew (Modern Ashkenazhicb),hba,Afro-Asiatic,31.75,35.17,-0.4846364,-0.7169629,-0.7687792,-0.656792827,heb,5055000,4596.115
Hindi,hin,Indo-European,25,77,-0.4846364,1.79538213,-0.7687792,0.180655509,hin,180764791,8691.814
Hixkaryana,hix,Cariban,-1,-59,-0.4846364,-0.7169629,-0.7687792,-0.656792827,hix,600,24920.96
Hmong Njua,hmo,Hmong-Mien,28,105,-0.4846364,1.79538213,1.86204304,1.057596241,blu,1290600,11214.83
Hamer,hmr,Afro-Asiatic,5,36.5,-0.4846364,0.9579338,0.54663194,0.33997643,amf,42838,3076.661
Hopi,hop,Uto-Aztecan,36,-110,-0.4846364,0.12048546,0.54663194,0.060826985,hop,5264,18388.91
Huastec,htc,Mayan,22.08,-99.33,-0.4846364,0.12048546,-0.7687792,-0.377643382,hsf,1749,20237.17
Huitoto (Murui),hum,Huitotoan,-1,-73.5,-0.4846364,-0.7169629,-0.7687792,-0.656792827,huu,2900,23734.11
Hungarian,hun,Uralic,47,20,1.3900889,0.9579338,-0.7687792,0.526414511,hun,13611600,6368.741
Hupa,hup,Na-Dene,41.08,-123.67,-1.2345266,0.9579338,-0.7687792,-0.348457316,hup,8,17305.97
Huave (San Mateo del Mar),hve,Huavean,16.22,-95,-0.4846364,0.12048546,0.54663194,0.060826985,huv,12000,21019.99
Hunzib,hzb,Nakh-Daghestanian,42.17,46.25,1.3900889,0.9579338,-0.7687792,0.526414511,huz,2000,6072.393
Iaai,iaa,Austronesian,-20.42,166.58,1.3900889,1.79538213,-0.7687792,0.805563957,iai,1562,19594.32
Iban,iba,Austronesian,2,112,-0.4846364,0.12048546,-0.7687792,-0.377643382,iba,415000,13296.74
Igbo,igb,Niger-Congo,6,7.33,1.3900889,1.79538213,0.54663194,1.244034323,ibo,18000000,840.8655
Ingessana,igs,Nilo-Saharan,11.5,34,-0.4846364,-0.7169629,0.54663194,-0.218322461,tbi,67166,3054.267
Ijo (Kolokuma),ijo,Niger-Congo,4.92,5.67,1.3900889,0.12048546,0.54663194,0.685735432,ijc,1000000,806.7756
Ik,ik,Nilo-Saharan,3.75,34.17,1.3900889,0.9579338,0.54663194,0.964884878,ikx,2000,2795.69
Ika,ika,Chibchan,10.67,-73.75,1.3900889,-0.7169629,-0.7687792,-0.031884379,arh,14301,23147.22
Imonda,imo,Border,-3.33,141.17,1.3900889,-1.5544112,-0.7687792,-0.311033824,imn,250,16312.9
Indonesian,ind,Austronesian,0,106,-0.4846364,0.12048546,-0.7687792,-0.377643382,ind,23143354,13271.85
Ingush,ing,Nakh-Daghestanian,43.17,45.08,-0.4846364,1.79538213,-0.7687792,0.180655509,inh,230315,6076.723
Irish (Donegal),ird,Indo-European,55,-8,-0.4846364,1.79538213,-0.7687792,0.180655509,gle,355000,8498.085
Iraqw,irq,Afro-Asiatic,-4,35.5,-0.4846364,0.9579338,0.54663194,0.33997643,irk,462000,2902.023
Irarutu,irr,Austronesian,-3,133.5,1.3900889,-1.5544112,-0.7687792,-0.311033824,irh,4000,15526.95
Iranxe,irx,Arawakan,-13,-58,-0.4846364,0.12048546,-0.7687792,-0.377643382,irn,191,25814.99
Isoko,iso,Niger-Congo,5.5,6.25,1.3900889,0.9579338,0.54663194,0.964884878,iso,423000,832.3132
Ivatan (Southern),ivs,Austronesian,20.33,121.83,-1.2345266,0.12048546,-0.7687792,-0.627606761,ivv,35000,13119.01
Jakaltek,jak,Mayan,15.67,-91.67,-0.4846364,0.9579338,-0.7687792,-0.098493936,jac jai,99000,21225.21
Jaqaru,jaq,Aymaran,-13,-76,-1.2345266,1.79538213,-0.7687792,-0.06930787,jqr,736,24979.68
Javanese,jav,Austronesian,-7,111,1.3900889,0.12048546,-0.7687792,0.247265066,jav,75508300,14149.33
Jeh,jeh,Austro-Asiatic,15.17,107.83,1.3900889,1.79538213,-0.7687792,0.805563957,jeh,23256,12072.16
Jingpho,jng,Sino-Tibetan,25.42,97,-0.4846364,0.9579338,1.86204304,0.778446796,kac,940000,10577.3
Jomang,jom,Niger-Congo,10.58,30.5,1.3900889,-1.5544112,0.54663194,0.127436542,tlo,1500,2667.944
Japanese,jpn,Japanese,37,140,-0.4846364,-0.7169629,0.54663194,-0.218322461,jpn,122433899,13672.06
Japreria,jpr,Cariban,10.5,-73,-0.4846364,-1.5544112,-0.7687792,-0.935942272,jru,90,23206.52
Ju|'hoan,juh,Khoisan,-19,21,-0.4846364,1.79538213,1.86204304,1.057596241,ktz,5000,2336.498
Kabardian,kab,Northwest Caucasian,43.5,43.5,-1.2345266,1.79538213,-0.7687792,-0.06930787,kbd,1012000,6016.822
Kadugli,kad,Kadugli,11,29.67,-0.4846364,0.12048546,1.86204304,0.499297351,xtc,81500,2611.667
Kalami,kal,Indo-European,35.5,72.5,-0.4846364,-0.7169629,0.54663194,-0.218322461,gwc,40000,8051.176
Kashmiri,kas,Indo-European,34,76,1.3900889,0.9579338,-0.7687792,0.526414511,kas,4611000,8383.788
Kayardild,kay,Australian,-17.05,139.5,-1.2345266,-0.7169629,-0.7687792,-0.906756206,gyd,6,16930.76
Koyra Chiini,kch,Nilo-Saharan,17,-3,-0.4846364,-0.7169629,-0.7687792,-0.656792827,khq,200000,2447.26
Kedang,ked,Austronesian,-8.25,123.75,-0.4846364,0.12048546,-0.7687792,-0.377643382,ksx,30000,15007.67
Kefa,kef,Afro-Asiatic,7.25,36.25,-0.4846364,0.12048546,0.54663194,0.060826985,kbr,569626,3112.478
Kera,ker,Afro-Asiatic,9.83,15.08,-0.4846364,-0.7169629,1.86204304,0.220147906,ker,50523,1377.37
Ket,ket,Yeniseian,64,87,1.3900889,-0.7169629,-0.7687792,-0.031884379,ket,550,9550.919
Kewa,kew,Trans-New Guinea,-6.5,143.83,-0.4846364,0.12048546,0.54663194,0.060826985,kew kjs,90000,16724.99
Koromfe,kfe,Niger-Congo,14.25,-0.92,1.3900889,-0.7169629,-0.7687792,-0.031884379,kfz,196100,2069.288
Kirghiz,kgz,Altaic,42,75,1.3900889,0.12048546,-0.7687792,0.247265066,kir,3136733,8276.863
Khalkha,kha,Altaic,47,105,1.3900889,0.12048546,-0.7687792,0.247265066,khk,2337095,10609.53
Khmer,khm,Austro-Asiatic,12.5,105,1.3900889,0.12048546,-0.7687792,0.247265066,khm,13276639,11937.28
Khoekhoe,kho,Khoisan,-25.5,18,-0.4846364,0.9579338,1.86204304,0.778446796,naq,233701,2844.541
Kharia,khr,Austro-Asiatic,22.5,84.33,-0.4846364,0.9579338,-0.7687792,-0.098493936,khr,293575,9487.132
Khasi,khs,Austro-Asiatic,25.5,92,-0.4846364,0.12048546,-0.7687792,-0.377643382,kha,865000,10103.47
Kiowa,kio,Kiowa-Tanoan,37,-99,-0.4846364,0.12048546,0.54663194,0.060826985,kio,1092,18787.47
Kiwai,kiw,Kiwaian,-8,143.5,-0.4846364,-1.5544112,0.54663194,-0.497471906,kiw kjd,14100,16764.42
Konkani,kkn,Indo-European,15.25,74,1.3900889,0.12048546,-0.7687792,0.247265066,knn,4000000,8826.033
Kaliai-Kove,kkv,Austronesian,-5.58,149.67,-0.4846364,0.12048546,-0.7687792,-0.377643382,khl kvc,8750,17279.57
Klao,kla,Niger-Congo,4.75,-8.75,1.3900889,-1.5544112,1.86204304,0.565906908,klu,192000,2133.034
Klamath,klm,Penutian,42.5,-121.5,-1.2345266,0.9579338,-0.7687792,-0.348457316,kla,1,17263.44
Kilivila,klv,Austronesian,-8.5,151.08,-0.4846364,0.12048546,-0.7687792,-0.377643382,kij,20000,17545.36
Kala Lagaw Ya,kly,Australian,-10.12,142.12,-0.4846364,-0.7169629,-0.7687792,-0.656792827,mwp,3000,16741.11
Kunimaipa,kmp,Trans-New Guinea,-8,146.83,-0.4846364,-0.7169629,-0.7687792,-0.656792827,kup,11000,17095.09
