"","ISO","lang.family","lang.genus","native.country","native.country.area","language","lat","lon","area","perimeter","n.neighbors","mean.temp","sum.precip","sd.temp","sd.precip","growing.season","pop_log","morphological.complexity","complexity.bias","p.complexity.bias","mono.complexity.bias","open.complexity.bias","morphological.complexity.ld","propPresent","adjusted.complexity","ratio.L2.L1","scaled.LDT.ZM","scaled.LDT.H","scaled.LDT.TTR","stock","region","n.L1.speakers","n.L2.speakers","TTR.LDT","n.phonemes","n.consonants","n.vowels","n.sonorants","n.obstruents","n.monophthongs","n.qual.monophthongs","n.tones","mean.length","mean.dependency.length","information.density","syllable.rate","information.rate","mean.aoa","normalized.vowel.diversity","normalized.consonant.diversity","normalized.tone.diversity","normalized.phoneme.diversity","distance.from.origin"
"206","nyv","Australian","Nyulnyulan","Australia","Australia and Oceania","nyulnyul",-17,122.83,19619,223926,3,NA,NA,NA,NA,NA,1.69897,18,NA,NA,NA,NA,-2,0.41667,-0.83334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","pkn","Australian","Pama-Nyungan","Australia","Australia and Oceania","pakanha",-14.5,142.42,31147,215257,2,NA,NA,NA,NA,NA,1.69897,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","piu","Australian","Pama-Nyungan","Australia","Australia and Oceania","pintupi",-23,129,4508983,864864,5,NA,NA,NA,NA,NA,2.90309,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.06756756756757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","pjt","Australian","Pama-Nyungan","Australia","Australia and Oceania","pitjantjatjara",-26,130,33452361,3978210,18,NA,NA,NA,NA,NA,3.39794,19,NA,NA,NA,NA,-5,0.54167,-2.70835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.03947368421053,NA,NA,NA,NA,NA,-1.2345266,0.12048546,-0.7687792,-0.627606761,16956.14
"210","drl","Australian","Pama-Nyungan","Australia","Australia and Oceania","paakantyi",-32.5,142.5,2908092,761826,1,18.7417,23.083,5.265,5.7604,0,1.69897,16,NA,NA,NA,NA,-1,0.20833,-0.20833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.27941176470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","pnw","Australian","Pama-Nyungan","Australia","Australia and Oceania","panyjima",-22.83,118.42,63371,338169,1,NA,NA,NA,NA,NA,1.69897,14,NA,NA,NA,NA,-2,0.16667,-0.33334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.12162162162162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","pit","Australian","Pama-Nyungan","Australia","Australia and Oceania","pittapitta",-22.83,140,13429,165883,0,24.3833,21.083,15.664,6.0376,0,1.69897,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32352941176471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","rit","Australian","Pama-Nyungan","Australia","Australia and Oceania",NA,-12.83,135.5,1496081,507621,8,NA,NA,NA,NA,NA,2.47712,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.96396396396396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","rmb","Australian","Rembarnga","Australia","Australia and Oceania","rembarnga",-12.83,134.58,88998,320983,7,NA,NA,NA,NA,NA,2.17609,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32352941176471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","ron","Indo-European","Romance","Romania","Europe","romanian",46,25,9083042,2411643,13.6666666666667,9.4617,46.563,18.615,8.73203333333333,6.8456,7.37104,11,0.342639278,0.223030432,0.175528694,0.286727853,-4,0.41667,-1.66668,0.161236247,0.261499063,0.460574769,0.15018557,"Indo-European","Europe",24808318,4e+06,0.389681669,31,22,9,6,16,9,9,0,4.40084388185654,18.3,NA,NA,NA,NA,1.3900889,0.12048546,-0.7687792,0.247265066,6031.231
"216","thd","Australian","Pama-Nyungan","Australia","Australia and Oceania","kuukthaayorre",-14.58,141.83,12431,125704,0,NA,NA,NA,NA,NA,2.17609,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44736842105263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","tiw","Australian","Tiwian","Australia","Australia and Oceania",NA,-11.5,131,114706,1278200,0,NA,NA,NA,NA,NA,3.17609,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,14,4,9,5,4,4,0,7.39130434782609,NA,NA,NA,NA,NA,-1.2345266,0.12048546,-0.7687792,-0.627606761,15832.01
"218","vie","Austro-Asiatic","Viet-Muong","Viet Nam","Asia","vietnamese",10.5,106.5,4644619.5,6325859.5,75,27.3162210526316,155.817052631579,128.154368421053,1.0326,7.70716315789474,7.82891,6,0.334961762,0.195191013,0.271135159,0.280984336,-15,0.91667,-13.75005,0.248767822,-1.071804465,0.260353519,-1.135857511,"Austroasiatic","Southeast Asia",64317000,1.6e+07,0.222311076,39,21,12,7,14,12,11,6,3.3969696969697,NA,NA,5.22,NA,NA,1.3900889,0.12048546,1.86204304,1.124205799,12186.95
"219","waq","Australian","Yangmanic","Australia","Australia and Oceania",NA,-14,131.25,931313,412149,5,27.3167,81.083,93.545,3.3026,5,1.69897,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6025641025641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","wmb","Australian","West Barkly","Australia","Australia and Oceania",NA,-18.67,135.75,6603650,1226691,8,NA,NA,NA,NA,NA,1.69897,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.37837837837838,NA,NA,NA,NA,NA,-1.2345266,-0.7169629,-0.7687792,-0.906756206,16742.62
"221","wgu","Australian","Pama-Nyungan","Australia","Australia and Oceania",NA,-32,134,549611,704952,1,NA,NA,NA,NA,NA,1.69897,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.06428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","wrb","Australian","Pama-Nyungan","Australia","Australia and Oceania",NA,-22,138.5,32139,240699,1,NA,NA,NA,NA,NA,1.69897,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","wrr","Australian","Yangmanic","Australia","Australia and Oceania",NA,-15.5,131,2081867,637413,7,NA,NA,NA,NA,NA,1.69897,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.97435897435897,NA,NA,NA,NA,NA,-0.4846364,-0.7169629,-0.7687792,-0.656792827,16134.48
"224","wbp","Australian","Pama-Nyungan","Australia","Australia and Oceania",NA,-20,132.33,21938901,2112619,20,25.4111,33.667,34.03,5.1015,2.3333,3.47712,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8974358974359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","yii","Australian","Pama-Nyungan","Australia","Australia and Oceania",NA,-17,145.75,7089,134030,1,25.075,172,164.233,2.4514,8,1.69897,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,13,3,9,4,3,3,0,5.28921568627451,NA,NA,NA,NA,NA,-1.2345266,-1.5544112,-0.7687792,-1.185905651,17471.56
"226","yij","Australian","Pama-Nyungan","Australia","Australia and Oceania",NA,-21.75,117.92,3401297,938889,5,NA,NA,NA,NA,NA,2.69897,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.75862068965517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","jao","Australian","Pama-Nyungan","Australia","Australia and Oceania",NA,-16.42,137.17,1603116,1609519,3,NA,NA,NA,NA,NA,1.8451,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,29,3,22,7,3,3,0,6.5875,NA,NA,NA,NA,NA,-1.2345266,0.9579338,-0.7687792,-0.348457316,16692.95
"228","ywr","Australian","Nyulnyulan","Australia","Australia and Oceania",NA,-18,122.5,54145,330669,4,25.9333,49.75,69.484,3.3945,3,1.69897,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.48387096774194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","agx","Nakh-Daghestanian","Lezgic","Russia","Eurasia","aghul",41.75,47.67,139123,155103,10,NA,NA,NA,NA,NA,4.24067,13,NA,NA,NA,NA,-1,0.16667,-0.16667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.05263157894737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","ava","Nakh-Daghestanian","Avar-Andic-Tsezic","Russia","Eurasia","avar",42.5,46.5,611549,856095,17.5,10.3417,38.667,18.898,9.3221,7,5.77884,14,NA,NA,NA,NA,-2,0.29167,-0.58334,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,44,5,20,24,5,5,0,4.3171875,NA,NA,NA,NA,NA,-0.4846364,1.79538213,-0.7687792,0.180655509,6111.7
"231","bdk","Nakh-Daghestanian","Lezgic","Azerbaijan","Asia","budukh",41.17,48.42,2624,62803,6,NA,NA,NA,NA,NA,3,13,NA,NA,NA,NA,-1,0.125,-0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.19230769230769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","bel","Indo-European","Slavic","Belarus","Europe","belarusian",54,28,20665962,2991254,7,5.9723,55.428375,17.5351875,9.06613125,6.9765625,6.95814,14,0.408573138,0.302593471,0.237511572,0.374351689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","dar","Nakh-Daghestanian","Lak-Dargwa","Russia","Eurasia","dargwa",42.25,47.42,553405,877278,25,10.3417,38.667,18.898,9.3221,7,5.56994,15,NA,NA,NA,NA,-1,0.20833,-0.20833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","kjj","Nakh-Daghestanian","Lezgic","Azerbaijan","Asia","khinalug",41.17,48.08,2291,17424,4,NA,NA,NA,NA,NA,3.17609,13,NA,NA,NA,NA,0,0.125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.02564102564103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","kry","Nakh-Daghestanian","Lezgic","Azerbaijan","Asia","kryz",41.08,48,6821,36833,4,4.725,40.833,25.038,7.0234,6,3.77815,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","lbe","Nakh-Daghestanian","Lak-Dargwa","Russia","Eurasia","lak",42.17,47.17,462653,1025794,30,10.4583,38.167,18.042,9.6164,6,5.07741,19,NA,NA,NA,NA,-7,0.54167,-3.79169,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,60,9,6,54,9,6,0,4.5,NA,NA,NA,NA,NA,-1.2345266,1.79538213,-0.7687792,-0.06930787,6131.37
"237","lez","Nakh-Daghestanian","Lezgic","Russia","Eurasia","lezgian",41.67,47.83,343939,391797,13.5,8.20277777777778,36.2774444444444,18.6495555555556,7.82873333333333,5.11111111111111,5.65428,19,NA,NA,NA,NA,-6,0.91667,-5.50002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.96186440677966,NA,NA,NA,NA,NA,-0.4846364,1.79538213,-0.7687792,0.180655509,6142.042
"238","myv","Uralic","Finnic","Russia","Eurasia","mordvinerzya",53,45.5,815350,2370767,6,NA,NA,NA,NA,NA,5.71397,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","trg","Afro-Asiatic","Semitic","Israel","Asia","neoaramaicpersianazerbaijan",38,47,NA,NA,NA,NA,NA,NA,NA,NA,3.64128,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,24,16,5,19,16,10,0,NA,NA,NA,NA,NA,NA,-0.4846364,0.12048546,-0.7687792,-0.377643382,5871.083
"240","oss","Indo-European","Iranian","Russia","Eurasia","ossetic",43,44,444055,624545,4,5.3833,91.917,19.44,7.8448,6,5.72136,15,NA,NA,NA,NA,-5,0.54167,-2.70835,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,30,9,6,24,9,9,0,3.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","rut","Nakh-Daghestanian","Lezgic","Russia","Eurasia",NA,41.5,47.42,86081,112652,7,NA,NA,NA,NA,NA,4.30343,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,59,5,17,42,5,5,0,4.53846153846154,NA,NA,NA,NA,NA,-0.4846364,1.79538213,0.54663194,0.619125875,6103.329
"242","tkr","Nakh-Daghestanian","Lezgic","Russia","Eurasia",NA,41.67,47.17,87380,181716,9,NA,NA,NA,NA,NA,4.30261,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55128205128205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","udi","Nakh-Daghestanian","Lezgic","Azerbaijan","Asia",NA,41,48,5530,30840,2,4.725,40.833,25.038,7.0234,6,3.7574,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.97368421052632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","mhv","Sino-Tibetan","Burmese-Lolo","Myanmar","Asia","arakanesemarma",21.5,92.5,777956.333333333,1801192.33333333,19.3333333333333,24.06415,299.5195,338.6465,2.80795,8.1,5.97955,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","asm","Indo-European","Indic","India","Asia","assamese",26,93,2478710.5,1464002.5,42,23.72915,147.948,122.4395,4.96765,8.3125,7.18679,14,NA,NA,NA,NA,0,0.125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","bgr","Sino-Tibetan","Kuki-Chin-Naga","Myanmar","Asia","bawm",22.5,92.25,130251.666666667,511586.666666667,13,25.6417,230.361,238.874,3.2718,8.1667,4.13966,16,NA,NA,NA,NA,-11,0.79167,-8.70837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4846364,0.12048546,0.54663194,0.060826985,10245.05
"247","ctg","Indo-European","Indic","Bangladesh","Asia","bengalichittagong",22.33,91.83,NA,NA,NA,25.6528,233.111,252.24,3.1102,8.3333,7.14613,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","mya","Sino-Tibetan","Burmese-Lolo","Myanmar","Asia","burmese",21,96,10650972,6916372,59.5,26.38268,141.8658,151.574,2.90566,6.57254,7.50922,11,NA,NA,NA,NA,-11,0.83333,-9.16663,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,34,13,13,21,11,8,3,4,NA,NA,NA,NA,NA,1.3900889,0.9579338,1.86204304,1.403355244,10666.4
"249","grt","Sino-Tibetan","Baric","India","Asia","garo",25.67,90.5,696892,445687,11.5,24.1375,234.125,228.319,3.6526,7.5,5.83059,15,NA,NA,NA,NA,-6,0.70833,-4.24998,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,21,5,10,11,5,5,0,3.96875,NA,NA,NA,NA,NA,-0.4846364,-0.7169629,-0.7687792,-0.656792827,9955.409
"250","guj","Indo-European","Indic","India","Asia","gujarati",23,72,12000373,5558437,38,26.8062,61.823,88.844,4.2382,3.625,7.66376,12,0.298837256,0.162468617,0.220601083,0.255791666,-2,0.25,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","hoc","Austro-Asiatic","Munda","India","Asia","ho",22,86,790067,388197,12,27.05,106.75,115.85,4.9645,5,6.03222,14,NA,NA,NA,NA,0,0.125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.96153846153846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","csh","Sino-Tibetan","Kuki-Chin-Naga","Bangladesh","Asia","hyow",22.08,92.42,132066.5,156212.5,6.5,27.4583,74.75,64.994,3.4214,6,4.05774,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","ins","Sign Languages","","India","Asia","indopakistanisignlanguageindiandialects",24,80,NA,NA,NA,NA,NA,NA,NA,NA,6.42813,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","kha","Austro-Asiatic","Khasian","India","Asia","khasi",25.5,92,590604.5,498937,17.5,20.94375,435.9375,446.246,3.64565,8.75,5.93702,13,NA,NA,NA,NA,-9,0.625,-5.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,19,9,6,13,9,8,0,4.49253731343284,NA,NA,NA,NA,NA,-0.4846364,0.12048546,-0.7687792,-0.377643382,10103.47
"255","trp","Sino-Tibetan","Baric","India","Asia","kokborok",24.33,92.5,198624.5,467398.5,18.5,NA,NA,NA,NA,NA,5.89818,13,NA,NA,NA,NA,-2,0.375,-0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.86206896551724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","kru","Dravidian","Northern Dravidian","India","Asia","kurukh",22.83,85.5,600754.5,1073912.5,46,24.8724,167.261,185.0925,4.5402,6.24075,6.31239,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,46,22,13,33,22,6,0,3.93103448275862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","cnh","Sino-Tibetan","Kuki-Chin-Naga","Myanmar","Asia","lai",22.67,93.67,293120,239013,8,16.8249666666667,171.944666666667,160.111666666667,3.12806666666667,8,5.64959,8,NA,NA,NA,NA,-6,0.375,-2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,45,7,22,23,7,6,0,4.5875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","mni","Sino-Tibetan","Kuki-Chin-Naga","India","Asia","meithei",24.75,94,128333.666666667,320832.666666667,21.3333333333333,24.3354,266.875,230.348,3.7947,8.5,6.10072,17,NA,NA,NA,NA,-8,0.875,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,25,6,8,17,6,6,2,3.9,NA,NA,NA,NA,NA,-0.4846364,0.9579338,0.54663194,0.33997643,10321.07
"259","lus","Sino-Tibetan","Kuki-Chin-Naga","India","Asia","mizo",23.17,92.83,598960.666666667,630983.666666667,23,23.0125,201.7085,191.041,2.70015,8.5,5.73443,15,NA,NA,NA,NA,-4,0.45833,-1.83332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.13125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","unr","Austro-Asiatic","Munda","India","Asia","mundari",23,84.67,535927,861152,28.6666666666667,25.4474,137.998,154.429,4.6681,6,6.31696,19,NA,NA,NA,NA,-7,0.75,-5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,32,5,14,18,5,5,0,3.98571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","ori","Indo-European","Indic","India","Asia","oriya",21,85,10084259,0,72,27.229,97.435,111.075,3.94395,4.53125,7.50104,15,NA,NA,NA,NA,0,0.16667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","sat","Austro-Asiatic","Munda","India","Asia",NA,24.5,87,722339.333333333,1084440.33333333,28.6666666666667,25.3378,150.32675,168.5515,4.55145,6.376175,6.78932,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.07191780821918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","ary","Afro-Asiatic","Semitic","Morocco","Africa","arabicmoroccan",34,-6,14439347,5502023,13,18.601925,46.285625,35.905375,5.4211875,6.81965,7.2896,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,74,4,19,55,4,3,0,4.49350649350649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","aeb","Afro-Asiatic","Semitic","Tunisia","Africa","arabictunisian",36.75,10.25,15190564,3787476,7,17.88735,38.35075,23.78675,6.06385,6.374975,6.96604,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","rif","Afro-Asiatic","Berber","Morocco","Africa","berberrif",34.5,-4,763049.5,357933,2.5,16.7907333333333,46.0603333333333,31.8666666666667,6.20825,7.44446666666667,6.23045,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,45,4,12,33,4,4,0,4.50420168067227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","kab","Afro-Asiatic","Berber","Algeria","Africa","kabyle",36.5,5,1955839,638211,2,15.7715333333333,63.1393333333333,39.628,6.04926666666667,7.5065,6.49457,13,NA,NA,NA,NA,0,0.20833,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,27,3,3,24,3,3,0,4.66883116883117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","lzz","Kartvelian","Kartvelian","Turkey","Eurasia","laz",41.5,41.5,249172,268549,4.5,13.62802,145.9886,52.371,6.01318,9.53336,4.51851,15,NA,NA,NA,NA,0,0.125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,27,5,4,23,5,5,0,4.8974358974359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","ltz","Indo-European","Germanic","Luxembourg","Europe","luxembourgish",49.83,6.17,96560,155220.75,7.75,8.46945,69.986,6.826,6.38285,7,5.59175,13,NA,NA,NA,NA,NA,NA,NA,0.140680613,-0.013065446,0.407700742,-0.057263581,"Indo-European","Europe",355415,50000,0.362683438,NA,NA,NA,NA,NA,NA,NA,NA,4.05128205128205,NA,NA,NA,NA,3.43909698996656,NA,NA,NA,NA,NA
"269","ium","Hmong-Mien","Hmong-Mien","China","Asia","mien",25,111,726355,7502040.75,70.5,22.784175,123.945,101.349,4.072475,8.4483,5.91312,11,NA,NA,NA,NA,-3,0.20833,-0.62499,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,35,8,15,20,8,7,6,3.88157894736842,NA,NA,NA,NA,NA,1.3900889,0.9579338,1.86204304,1.403355244,11894.33
"270","bam","Niger-Congo","Western Mande","Mali","Africa","bambara",12.5,-7.5,6867088.5,2444718.5,27.5,27.4038,73.233,93.89,2.5407,4.67225,6.44504,13,NA,NA,NA,NA,-8,0.625,-5,3.607061183,-0.433291042,-0.717292809,-0.574693354,"Mande","African Savannah  ",2772340,1e+07,0.295343137,35,21,14,8,13,14,7,0,3.90789473684211,NA,NA,NA,NA,NA,1.3900889,0.12048546,0.54663194,0.685735432,2418.978
"271","bbo","Niger-Congo","Western Mande","Burkina Faso","Africa","bobo madare northern",11.83,-4.42,368111.666666667,332170,10.3333333333333,27.2125,82.639,97.2825,2.2706,5.16665,5.49372,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,21,12,8,13,12,7,0,NA,NA,NA,NA,NA,NA,1.3900889,0.12048546,1.86204304,1.124205799,2115.293
"272","bib","Niger-Congo","Eastern Mande","Ghana","Africa","bisa",11.5,-0.5,140695,178264.666666667,7.33333333333333,28.2708,73.542,85.202,2.0454,5,5.76485,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,18,6,8,10,6,6,0,2.73333333333333,NA,NA,NA,NA,NA,-0.4846364,-0.7169629,-0.7687792,-0.656792827,1796.459
"273","dyu","Niger-Congo","Western Mande","C“te dIvoire","Africa","dyula",9.83,-4.67,521455,965007.5,31,27.5139,76.708,90.567,2.3261,5,6.08959,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,23,14,8,15,14,7,2,3.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","fuh","Niger-Congo","Northern Atlantic","Burkina Faso","Africa","fulaburkinafaso",14,0,3255961.33333333,1383732.33333333,22.3333333333333,28.6868,41.9275,57.677,2.87505,3.54165,6.07188,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,27,5,12,15,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
