LangID,CountryID,LangStatus,Name
ane,NC,L,XÃƒÂ¢rÃƒÂ¢cÃƒÂ_ÃƒÂ_
anf,GH,L,Animere
anh,PG,L,Nend
ani,RU,L,Andi
anj,PG,L,Anor
ank,NG,L,Goemai
anl,MM,L,Chin
anm,IN,L,Anal
ann,NG,L,Obolo
ano,CO,L,Andoque
anp,IN,L,Angika
anq,IN,L,Jarawa
anr,IN,L,Andh
ans,CO,X,Anserma
ant,AU,L,Antakarinya
anu,SS,L,Anuak
anv,CM,L,Denya
anw,NG,L,Anaang
anx,PG,L,Andra-Hus
any,CI,L,Anyin
anz,PG,L,Anem
aoa,ST,L,Angolar
aob,PG,L,Abom
aoc,VE,L,Pemon
aod,PG,L,Andarum
aoe,PG,L,Angal Enen
aof,PG,L,Bragat
aog,PG,L,Angoram
aoh,CO,X,Arma
aoi,AU,L,Anindilyakwa
aoj,PG,L,Mufian
aok,NC,L,ArhÃƒÂ¶
aol,ID,L,Alor
aom,PG,L,Ãƒâ€“mie
aon,PG,L,Arapesh
aor,VU,X,Aore
aos,ID,L,Taikat
aot,IN,L,Atong
aou,CN,L,AÃ¢â‚¬â„¢ou
aox,GY,L,Atorada
aoz,ID,L,Uab Meto
apb,SB,L,SaÃ¢â‚¬â„¢a
apc,SY,L,Arabic
apd,SD,L,Arabic
ape,PG,L,Bukiyip
apf,PH,L,Agta
apg,ID,L,Ampanang
aph,NP,L,Athpariya
api,BR,L,ApiakÃƒÂ¡
apj,US,L,Apache
apk,US,L,Apache
apl,US,L,Apache
apm,US,L,Apache
apn,BR,L,ApinayÃƒÂ©
apo,PG,L,Ambul
app,VU,L,Apma
apq,IN,X,A-Pucikwar
apr,PG,L,Arop-Lokep
aps,PG,L,Arop-Sissano
apt,IN,L,Apatani
apu,BR,L,ApurinÃƒÂ£
apw,US,L,Apache
apx,ID,L,Aputai
apy,BR,L,ApalaÃƒÂ_
apz,PG,L,Safeyoka
aqc,RU,L,Archi
aqd,ML,L,Dogon
aqg,NG,L,Arigidi
aqm,ID,L,Atohwaim
aqn,PH,L,Alta
aqr,NC,L,ArhÃƒÂ¢
aqt,PY,L,AngaitÃƒÂ©
aqz,BR,L,Akuntsu
arb,SA,L,Arabic
ard,AU,L,Arabana
are,AU,L,Arrarnta
arg,ES,L,Aragonese
arh,CO,L,Arhuaco
ari,US,L,Arikara
arj,BR,L,Arapaso
ark,BR,L,ArikapÃƒÂº
arl,PE,L,Arabela
arn,CL,L,Mapudungun
aro,BO,L,Araona
arp,US,L,Arapaho
arq,DZ,L,Arabic
arr,BR,L,Karo
ars,SA,L,Arabic
arv,ET,L,Arbore
arw,SR,L,Arawak
arx,BR,L,AruÃƒÂ¡
ary,MA,L,Arabic
arz,EG,L,Arabic
asa,TZ,L,Asu
asb,CA,L,Assiniboine
asc,ID,L,Asmat
asd,PG,L,Asas
ase,US,L,American Sign Language
asf,AU,L,Australian Sign Language
asg,NG,L,Cishingini
ash,PE,X,Abishira
asi,ID,L,Buruwai
asj,CM,L,Sari
ask,AF,L,Ashkun
asl,ID,L,Asilulu
asm,IN,L,Assamese
asn,BR,L,Asurini of XingÃƒÂº
aso,PG,L,Dano
asp,DZ,L,Algerian Sign Language
asq,AT,L,Austrian Sign Language
asr,IN,L,Asuri
ass,CM,L,Ipulo
ast,ES,L,Asturian
asu,BR,L,Asurini
asv,CD,L,Asoa
asw,AU,L,Australian Aborigines Sign Language
asx,PG,L,Muratayak
asy,ID,L,Asmat
asz,ID,L,As
ata,PG,L,Pele-Ata
atb,CN,L,Zaiwa
atd,PH,L,Manobo
ate,PG,L,Atemble
atg,NG,L,Ivbie North-Okpela-Arhe
ati,CI,L,AttiÃƒÂ©
atj,CA,L,Atikamekw
atk,PH,L,Ati
atl,PH,L,Agta
atm,PH,L,Ata
atn,IR,L,Ashtiani
ato,CM,L,Atong
atp,PH,L,Atta
atq,ID,L,Aralle-Tabulahan
atr,BR,L,Waimiri-AtroarÃƒÂ_
ats,US,L,Gros Ventre
att,PH,L,Atta
atu,SS,L,Reel
atv,RU,L,Altai
atw,US,L,Atsugewi
atx,BR,L,Arutani
aty,VU,L,Aneityum
atz,PH,L,Arta
aua,SB,L,Asumboa
aub,CN,L,Alugu
auc,EC,L,Waorani
aud,SB,L,Anuta
aug,BJ,L,Aguna
auh,ZM,L,Aushi
aui,PG,L,Anuki
auj,LY,L,Awjilah
auk,PG,L,Heyo
aul,VU,L,Aulua
aum,NG,L,Asu
aun,PG,L,One
aup,PG,L,Makayam
auq,ID,L,Anus
aur,PG,L,Aruek
aut,PF,L,Austral
auu,ID,L,Auye
auw,ID,L,Awyi
aux,BR,X,AurÃƒÂ¡
auy,PG,L,Awiyaana
auz,UZ,L,Arabic
ava,RU,L,Avar
avb,PG,L,Avau
avd,IR,L,Alviri-Vidari
ave,IR,X,Avestan
avi,CI,L,Avikam
avl,EG,L,Arabic
avm,AU,X,Angkamuthi
avn,GH,L,Avatime
avo,BR,X,Agavotaguerra
avs,PE,X,Aushiri
avt,PG,L,Au
avu,SS,L,Avokaya
avv,BR,L,AvÃƒÂ¡-Canoeiro
awa,IN,L,Awadhi
awb,PG,L,Awa
awc,NG,L,Cicipu
awe,BR,L,AwetÃƒÂ_
awg,AU,X,Anguthimri
awh,ID,L,Awbono
awi,PG,L,Aekyom
awk,AU,L,Awabakal
awm,PG,L,Arawum
awn,ET,L,Awngi
awo,NG,L,Awak
awr,ID,L,Awera
aws,ID,L,Awyu
awt,BR,L,ArawetÃƒÂ©
awu,ID,L,Awyu
awv,ID,L,Awyu
aww,PG,L,Awun
awx,PG,L,Awara
awy,ID,L,Awyu
axb,AR,X,Abipon
axe,AU,X,Ayerrerenge
axg,BR,L,ArÃƒÂ¡ra
axk,CF,L,Yaka
axl,AU,X,Aranda
axx,NC,L,XÃƒÂ¢rÃƒÂ¢gurÃƒÂ¨
aya,PG,L,Awar
ayb,BJ,L,Gbe
ayc,PE,L,Aymara
ayd,AU,X,Ayabadhu
aye,NG,L,Ayere
ayg,TG,L,Ginyanga
ayh,YE,L,Arabic
ayi,NG,L,Leyigha
ayk,NG,L,Akuku
ayl,LY,L,Arabic
ayn,YE,L,Arabic
ayo,PY,L,Ayoreo
ayp,IQ,L,Arabic
ayq,PG,L,Ayi
ayr,BO,L,Aymara
ays,PH,L,Ayta
ayt,PH,L,Ayta
ayu,NG,L,Ayu
ayy,PH,X,Ayta
ayz,ID,L,Mai Brat
aza,CN,L,Azha
azb,IR,L,Azerbaijani
azd,MX,L,Nahuatl
azg,MX,L,Amuzgo
azj,AZ,L,Azerbaijani
azm,MX,L,Amuzgo
azn,MX,L,Nahuatl
azo,CM,L,Awing
azt,PH,L,Atta
azz,MX,L,Nahuatl
baa,SB,L,Babatana
bab,GW,L,Bainouk-GunyuÃƒÂ±o
bac,ID,L,Badui
bae,VE,L,BarÃƒÂ©
baf,CM,L,Nubaca
bag,CM,L,Tuki
bah,BS,L,Bahamas Creole English
baj,ID,L,Barakai
bak,RU,L,Bashkort
bam,ML,L,Bamanankan
ban,ID,L,Bali
bao,CO,L,Waimaha
bap,NP,L,Bantawa
bar,AT,L,Bavarian
bas,CM,L,Basaa
bau,NG,L,Mbat
bav,CM,L,Vengo
baw,CM,L,Bambili-Bambui
bax,CM,L,Bamun
bay,ID,L,Batuley
bba,BJ,L,Baatonum
bbb,PG,L,Barai
bbc,ID,L,Batak Toba
bbd,PG,L,Bau
bbe,CD,L,Bangba
bbf,PG,L,Baibai
bbg,GA,L,Barama
bbh,CN,L,Bugan
bbi,CM,L,Barombi
bbj,CM,L,GhomÃƒÂ¡lÃƒÂ¡Ã¢â‚¬â„¢
bbk,CM,L,Babanki
bbl,GE,L,Bats
bbm,CD,L,Babango
bbn,PG,L,Uneapa
bbo,BF,L,KonabÃƒÂ©rÃƒÂ©
bbp,CF,L,Banda
bbq,CM,L,Bamali
bbr,PG,L,Girawa
bbs,NG,L,Bakpinka
bbt,NG,L,Mburku
bbu,NG,L,Kulung
bbv,PG,L,Karnai
bbw,CM,L,Baba
bbx,CM,L,Bubia
bby,CM,L,Befang
bbz,TD,L,Arabic
bca,CN,L,Bai
bcb,SN,L,Bainouk-Samik
bcc,PK,L,Balochi
bcd,ID,L,Babar
bce,CM,L,Bamenyam
bcf,PG,L,Bamu
bcg,GN,L,Baga Binari
bch,PG,L,Bariai
bci,CI,L,BaoulÃƒÂ©
bcj,AU,L,Bardi
bck,AU,L,Bunaba
bcl,PH,L,Bikol
bcm,PG,L,Bannoni
bcn,NG,L,Bali
bco,PG,L,Kaluli
bcp,CD,L,Bali
bcq,ET,L,Bench
bcr,CA,L,Babine
bcs,NG,L,Kohumono
bct,CD,L,Bendi
bcu,PG,L,Awad Bing
bcv,NG,L,Shoo-Minda-Nye
bcw,CM,L,Bana
bcy,NG,L,Bacama
bcz,SN,L,Bainouk-Gunyaamolo
bda,SN,L,Bayot
bdb,ID,L,Basap
bdc,CO,L,EmberÃƒÂ¡-BaudÃƒÂ_
bdd,PG,L,Bunama
bde,NG,L,Bade
bdf,PG,L,Biage
bdg,MY,L,Bonggi
bdh,SS,L,Baka
bdi,SD,L,Burun
bdj,SS,L,Bai
bdk,AZ,L,Budukh
bdl,ID,L,Bajau
bdm,TD,L,Buduma
bdn,CM,L,Baldemu
bdo,TD,L,Morom
bdp,TZ,L,Bende
bdq,VN,L,Bahnar
bdr,MY,L,Bajau
bds,TZ,L,Burunge
bdt,CF,L,Bhogoto
bdu,CM,L,Oroko
bdv,IN,L,Bodo Parja
bdw,ID,L,Baham
bdx,ID,L,Budong-Budong
bdy,AU,L,Bandjalang
bdz,PK,L,Badeshi
bea,CA,L,Beaver
beb,CM,L,Bebele
bec,CM,L,Iceve-Maci
bed,ID,L,Bedoanas
bee,IN,L,Byangsi
bef,PG,L,Benabena
beg,BN,L,Belait
beh,BJ,L,Biali
bei,ID,L,BakatiÃ¢â‚¬â„¢
bej,SD,L,Bedawiyet
bek,PG,L,Bebeli
bel,BY,L,Belarusan
bem,ZM,L,Bemba
ben,BD,L,Bengali
beo,PG,L,Beami
bep,ID,L,Behoa
beq,CG,L,Beembe
bes,TD,L,Besme
bet,CI,L,BÃƒÂ©tÃƒÂ©
beu,ID,L,Blagar
bev,CI,L,BÃƒÂ©tÃƒÂ©
bew,ID,L,Betawi
bex,SS,L,Jur Modo
bey,PG,L,Beli
bez,TZ,L,Bena
bfa,SS,L,Bari
bfb,IN,L,Bareli
bfc,CN,L,Bai
bfd,CM,L,Bafut
bfe,ID,L,Betaf
bff,CF,L,Bofi
bfg,ID,L,Kayan
bfh,PG,L,Blafe
bfi,GB,L,British Sign Language
bfj,CM,L,Bafanji
bfk,TH,L,Ban Khor Sign Language
bfl,CF,L,Banda-NdÃƒÂ©lÃƒÂ©
bfm,CM,L,Mmen
bfn,TL,L,Bunak
bfo,BF,L,Birifor
bfp,CM,L,Beba
bfq,IN,L,Badaga
bfr,IN,L,Bazigar
bfs,CN,L,Bai
bft,PK,L,Balti
bfu,IN,L,Gahri
bfw,IN,L,Bondo
bfx,PH,L,Bantayanon
bfy,IN,L,Bagheli
bfz,IN,L,Pahari
bga,NG,L,Gwamhi-Wuri
bgb,ID,L,Bobongko
bgc,IN,L,Haryanvi
bgd,IN,L,Bareli
bge,IN,L,Bauria
bgf,CM,L,Bangandu
bgg,IN,L,Bugun
bgi,PH,L,Giangan
bgj,CM,L,Bangolan
bgk,LA,L,Bit
bgl,LA,L,Bo
bgm,GN,L,Baga Mboteni
bgn,PK,L,Balochi
bgo,GN,L,Baga Koga
bgp,PK,L,Balochi
bgq,IN,L,Bagri
bgr,IN,L,Chin
bgs,PH,L,Tagabawa
bgt,SB,L,Bughotu
bgu,NG,L,Mbongno
bgv,ID,L,Warkay-Bipim
bgw,IN,L,Bhatri
bgx,TR,L,Balkan Gagauz Turkish
bgy,ID,L,Benggoi
bgz,ID,L,Banggai
bha,IN,L,Bharia
bhb,IN,L,Bhili
bhc,ID,L,Biga
bhd,IN,L,Bhadrawahi
bhe,PK,L,Bhaya
bhf,PG,L,Odiai
bhg,PG,L,Binandere
bhh,IL,L,Bukharic
bhi,IN,L,Bhilali
bhj,NP,L,Bahing
bhl,PG,L,Bimin
bhm,OM,L,Bathari
bhn,GE,L,Bohtan Neo-Aramaic
bho,IN,L,Bhojpuri
bhp,ID,L,Bima
bhq,ID,L,Tukang Besi South
bhr,MG,L,Malagasy
bhs,CM,L,Buwal
bht,IN,L,Bhattiyali
bhu,IN,L,Bhunjia
bhv,ID,L,Bahau
bhw,ID,L,Biak
bhx,IN,L,Bhalay
bhy,CD,L,Bhele
bhz,ID,L,Bada
bia,AU,L,Badimaya
bib,BF,L,Bisa
bic,PG,L,Bikaru
bid,TD,L,Bidiyo
bie,PG,L,Bepour
bif,GW,L,Biafada
big,PG,L,Biangai
bij,NG,L,Vaghat-Ya-Bijim-Legeri
bil,NG,L,Bille
bim,GH,L,Bimoba
bin,NG,L,Edo
bio,PG,L,Nai
bip,CD,L,Bila
biq,PG,L,Bipi
bir,PG,L,Bisorio
bis,VU,L,Bislama
bit,PG,L,Berinomo
biu,IN,L,Biete
biv,GH,L,Birifor
biw,CM,L,Kol
bix,IN,L,Bijori
biy,IN,L,Birhor
biz,CD,L,Baloi
bja,CD,L,Budza
bjb,AU,X,Barngarla
bjc,PG,L,Bariji
bje,CN,L,Biao-Jiao Mien
bjf,IL,L,Barzani Jewish Neo-Aramaic
bjg,GW,L,Bidyogo
bjh,PG,L,Bahinemo
bji,ET,L,Burji
bjj,IN,L,Kanauji
bjk,PG,L,Barok
bjl,PG,L,Bulu
bjm,IQ,L,Bajelani
bjn,ID,L,Banjar
bjo,CF,L,Banda
bjp,PG,L,Fanamaket
bjr,PG,L,Binumarien
bjs,BB,L,Bajan
bjt,SN,L,Balanta-Ganja
bju,CM,L,Busuu
bjv,TD,L,Bedjond
bjw,CI,L,BakwÃƒÂ©
bjx,PH,L,Itneg
bjy,AU,X,Bayali
bjz,PG,L,Baruga
bka,NG,L,Kyak
bkc,CM,L,Baka
bkd,PH,L,Binukid
bkf,CD,L,Beeke
bkg,CF,L,Buraka
bkh,CM,L,Bakoko
bki,VU,L,Baki
bkj,CF,L,Pande
bkk,IN,L,Brokskat
bkl,ID,L,Berik
bkm,CM,L,Kom
bkn,ID,L,Bukitan
bko,CM,L,KwaÃ¢â‚¬â„¢
bkp,CD,L,Boko
bkq,BR,L,BakairÃƒÂ_
bkr,ID,L,Bakumpai
bks,PH,L,Sorsoganon
bkt,CD,L,Boloki
bku,PH,L,Buhid
bkv,NG,L,Bekwarra
bkw,CG,L,Bekwel
bkx,TL,L,Baikeno
bky,NG,L,Bokyi
bkz,ID,L,Bungku
bla,CA,L,Blackfoot
blb,SB,L,Bilua
blc,CA,L,Bella Coola
bld,ID,L,Bolango
ble,GW,L,Balanta-Kentohe
blf,ID,L,Buol
blg,MY,L,Balau
blh,LR,L,Kuwaa
bli,CD,L,Bolia
blj,ID,L,Bolongan
blk,MM,L,PaÃ¢â‚¬â„¢o
blm,SS,L,Beli
bln,PH,L,Bikol
blo,BJ,L,Anii
blp,SB,L,Blablanga
blq,PG,L,Baluan-Pam
blr,CN,L,Blang
bls,ID,L,Balaesang
blt,VN,L,Tai Dam
blv,AO,L,Bolo
blw,PH,L,Balangao
blx,PH,L,Ayta
bly,BJ,L,Notre
blz,ID,L,Balantak
bma,NG,L,Lame
bmb,CD,L,Bembe
bmc,PG,L,Biem
bmd,GN,L,Baga Manduri
bme,CF,L,Limassa
bmf,SL,L,Bom
bmg,CD,L,Bamwe
bmh,PG,L,Kein
bmi,TD,L,Bagirmi
bmj,NP,L,Bote
bmk,PG,L,Ghayavi
bml,CD,L,Bomboli
bmm,MG,L,Malagasy
bmn,PG,X,Bina
bmo,CM,L,Bambalang
bmp,PG,L,Bulgebi
bmq,ML,L,Bomu
bmr,CO,L,Muinane
bms,NE,L,Kanuri
bmt,CN,L,Biao Mon
bmu,PG,L,Somba-Siawari
bmv,CM,L,Bum
bmw,CG,L,Bomwali
bmx,PG,L,Baimak
bmz,PG,L,Baramu
bna,ID,L,Bonerate
bnb,MY,L,Bookan
bnd,ID,L,Banda
bne,ID,L,Bintauna
bnf,ID,L,Masiwang
bng,GQ,L,Benga
bni,CD,L,Bangi
bnj,PH,L,Tawbuid
bnk,VU,L,Bierebo
bnl,SO,L,Boon
bnm,GQ,L,Batanga
bnn,TW,L,Bunun
bno,PH,L,Bantoanon
bnp,PG,L,Bola
bnq,ID,L,Bantik
bnr,VU,L,Butmas-Tur
bns,IN,L,Bundeli
bnu,ID,L,Bentong
bnv,ID,L,Beneraf
bnw,PG,L,Bisis
bnx,CD,L,Bangubangu
bny,MY,L,Bintulu
bnz,CM,L,Beezen
boa,PE,L,Bora
bob,KE,L,Aweer
bod,CN,L,Tibetan
boe,CM,L,Mundabli
bof,BF,L,Bolon
bog,ML,L,Bamako Sign Language
boh,CD,L,Boma
boi,US,L,BarbareÃƒÂ±o
boj,PG,L,Anjam
bok,CG,L,Bonjo
bol,NG,L,Bole
bom,NG,L,Berom
bon,PG,L,Bine
boo,ML,L,Bozo
bop,PG,L,Bonkiman
boq,PG,L,Bogaya
bor,BR,L,BorÃƒÂ´ro
bos,BA,L,Bosnian
bot,SS,L,Bongo
bou,TZ,L,Bondei
bov,GH,L,Tuwuli
bow,PG,L,Rema
box,BF,L,Buamu
boy,CF,L,Bodo
boz,ML,L,Bozo
bpa,VU,L,Daakaka
bpb,CO,X,Barbacoas
bpd,CF,L,Banda-Banda
bpg,ID,L,Bonggo
bph,RU,L,Botlikh
bpi,PG,L,Bagupi
bpj,CD,L,Binji
bpk,NC,L,Orowe
bpl,AU,L,Broome Pearling Lugger Pidgin
bpm,PG,L,Biyom
bpn,CN,L,Dzao Min
bpo,ID,L,Anasi
bpp,ID,L,Kaure
bpq,ID,L,Malay
bpr,PH,L,Blaan
bps,PH,L,Blaan
bpt,AU,X,Barrow Point
bpu,PG,L,Bongu
bpv,ID,L,Marind
bpw,PG,L,Bo
bpx,IN,L,Bareli
bpy,IN,L,Bishnupriya
bpz,ID,L,Bilba
bqa,BJ,L,Tchumbuli
bqb,ID,L,Bagusa
bqc,BJ,L,Boko
bqd,CM,L,Bung
bqf,GN,X,Baga Kaloum
bqg,TG,L,Bago-Kusuntu
bqh,CN,L,Baima
bqi,IR,L,BakhtiÃƒÂ¢ri
bqj,SN,L,Bandial
bqk,CF,L,Banda-MbrÃƒÂ¨s
bql,PG,L,Bilakura
bqm,CM,L,Wumboko
bqn,BG,L,Bulgarian Sign Language
bqo,CM,L,Balo
bqp,NG,L,Busa
bqq,ID,L,Biritai
bqr,ID,L,Burusu
bqs,PG,L,Bosmun
bqt,CM,L,Bamukumbit
bqu,CD,L,Boguru
bqv,NG,L,Koro Wachi
bqw,NG,L,Buru
bqx,NG,L,Baangi
bqy,ID,L,Bengkala Sign Language
bqz,CM,L,Bakaka
bra,IN,L,Braj Bhasha
brb,LA,L,Lave
brc,GY,X,Berbice Creole Dutch
brd,NP,L,Baram
bre,FR,L,Breton
brf,CD,L,Bera
brg,BO,L,Baure
brh,PK,L,Brahui
bri,CM,L,Mokpwe
brj,VU,L,Bieria
brk,SD,X,Birked
brl,BW,L,Birwa
brm,CD,L,Barambu
brn,CR,L,Boruca
bro,BT,L,Brokkat
brp,ID,L,Barapasi
brq,PG,L,Breri
brr,SB,L,Birao
brs,ID,L,Baras
brt,NG,L,Bitare
bru,LA,L,Bru
brv,TH,L,Bru
brw,IN,L,Bellari
brx,IN,L,Bodo
bry,PG,L,Burui
brz,PG,L,Bilbil
bsa,ID,L,Abinomn
bsb,BN,L,Bisaya
bsc,SN,L,Oniyan
bse,CM,L,Wushi
bsf,NG,L,Bauchi
bsg,IR,L,Bashkardi
bsh,AF,L,Kati
bsi,CM,L,Bassossi
bsj,NG,L,Bangwinji
bsk,PK,L,Burushaski
bsl,NG,X,Basa-Gumna
bsm,ID,L,Busami
bsn,CO,L,Barasana-Eduria
bso,TD,L,Buso
bsp,GN,L,Baga Sitemu
bsq,LR,L,Bassa
bsr,NG,L,Bassa-Kontagora
bss,CM,L,Akoose
bst,ET,L,Basketo
bsu,ID,L,Bahonsuai
bsv,GN,X,Baga SobanÃƒÂ©
bsw,ET,L,Baiso
bsx,NG,L,Yangkam
bsy,MY,L,Bisaya
bta,NG,L,Bata
btc,CM,L,Bati
btd,ID,L,Batak Dairi
bte,NG,L,Gamo-Ningi
btf,TD,L,Birgit
btg,CI,L,BÃƒÂ©tÃƒÂ©
bth,MY,L,Bidayuh
bti,ID,L,Burate
btj,ID,L,Malay
