language_ethno,iso,stock,region,family_wals,genus_wals,l1_ ethnologue,l1_encarta,other_estimates,l1,l2_ethnologue,l2_others,l2,ratio,perc
"Azerbaijani,Standard",aze,Turkic,Greater Mesopotamia,Alt,Turkic,19147529,31400000,"Official language of Azerbaijan Republic. 9 million native speakers in Azerbaijan. 25•_Ð35 million native, including Qashqai (data for Iran is very uncertain); 8 million second language (outside Iran); - 12.7 million (Iraq 0.6 million (1982), Suria 0.03 million (1961), Turkey 0.53 million; Azerbaijani, Iran 15.9 million (2009) 24%[79][80]; Azerbaijani, North 7.5 million (2007)[81]; Azerbaijani, Qashqai 1.5 million (1997)[82];Azerbaijani,29.170 million[83]",25273765,NA,8000000,8000000,0.316533772,0.24042966
Balochi,bal,Indo-European,Indic,IE,Iranian,8610800,NA,7005142 (Ethn. Macrolanguage Balochi),7807971,5000000 L2 for Eastern Bluchi including L2 of all varieties ,NA,3200000,0.409837588,0.29069844
Bambara ,bam,Mande,African Savannah  ,NC,Western Mande,2772340,NA,"2.8 million native, 10 million second language, = 13 million total ",2772340,NA,10000000,10000000,3.607061183,0.782941889
Basketo ,bst,Omotic,Greater Abyssinia  ,AA,North Omotic,57800,NA,NA,57800,8961,NA,8961,0.155034602,0.134225072
Belize Creole English,bzj,Creole,Belize,Cre,English based,110000,,,110000,48000,,48000,0.436363636,0.303797468
Bench (Gimira),bcq,Omotic,Greater Abyssinia  ,AA,North Omotic,174000,NA,NA,174000,22640,NA,22640,0.130114943,0.115134256
Bengali ,ben,Indo-European,Indic,IE,Indic,181272900,170000000,"211 million including second language speakers. Official language of Bangladesh (Ethnologue, 1999[25]) and one of the official languages of India for state of West Bengal and Tripura. ",175636450,140000000,35500000,87750000,0.499611556,0.333160647
Berta ,wti,Berta,Greater Abyssinia  ,NS,,147000,NA,NA,147000,16533,NA,16533,0.112469388,0.101098861
Borna (Shinassha),bwo,Omotic,Greater Abyssinia  ,AA,North Omotic,19900,NA,NA,19900,2276,NA,2276,0.114371859,0.102633478
Buginese ,bug,Austronesian,Oceania,An,Sulawesi,3500000,NA,"3.5 million native, 0.5 million second language, = ~4 million total (1991 SIL) ",3500000,500000,500000,500000,0.142857143,0.125
Bulgarian,bul,Indo-European,Europe,IE,Slavic,9097220,NA,      Census2001: 6 697 158,7897189,NA,Census 2001: 1231743; 12 million total,2067262,0.261771815,0.207463713
Bulu (Bum B Cameroon),bum,Benue-Congo,African Savannah  ,NC,Bantoid,858000,NA,NA,858000,800000,NA,800000,0.932400932,0.482509047
Burji,bji,Cushitic,Greater Abyssinia  ,AA,Eastern Cushitic,46100,,,46100,3045,NA ,3045,0.066052061,0.061959508
Burmese ,mya,Sino-Tibetan,Southeast Asia,ST,Burmese-Lolo,32319700,32300000,"50-56 million total speakers, including 18 to 23 million as second language (Myanmar Language Commission) ",32309850,10000000,20500000,15250000,0.471992287,0.320648614
Bussa ,dox,Cushitic,Greater Abyssinia  ,AA,Eastern Cushitic,6620,NA,NA,6620,920,NA,920,0.13897281,0.122015915
Byangsi ,bee,Sino-Tibetan,Indic,ST,,4560,NA,NA,4560,161,NA,161,0.035307018,0.034102944
Cameroon Creole English,wes,Creole,Cameroon,Cre,,NA,NA,95500,95500,2000000,NA,2000000,20.94240838,0.954426151
Catalan ,cat,Indo-European,Europe,IE ,Romance,11530160,NA,"6.7 million native, ~5 million second language, = ~12 million total (1996) (includes Valencian) ",9115080,5000000,5000000,5000000,0.548541538,0.354231078
Cebuano ,ceb,Austronesian,Oceania,An ,Meso-Philippine,15807260,15000000,"Native to Philippines; 18.5 million native, ~11.5 million second language, = 30 million total (2000 census) ",15403630,NA,11500000,11500000,0.746577268,0.427451612
Chamorro,cha,Austronesian,Oceania,An,Chamorro,92700,NA,60000,76350,30000,NA,30000,0.392927308,0.282087447
Chara ,cra,Omotic,Greater Abyssinia  ,AA,North Omotic,6930,NA,NA,6930,668,NA,668,0.096392496,0.087917873
"Chinese,Mandarin ",cmn,Sino-Tibetan,Southeast Asia,ST,Chinese,845234000,800000000,"1,052 million including second language speakers (Ethnologue, 1999[5])/ 1,151 million (982 native, 179 second language)[6] /It is also one of the six official languages of the United Nations. ",875744667,178000000,206766000,192383000,0.219679328,0.180112365
Chuvash ,chv,Turkic,Inner Asia,Alt,Turkic,1640000,NA,"1.8 million native, 200,000 second language, = 2.0 million total (2001 Johnstone and Mandryk) ",1720000,200000,200000,200000,0.11627907,0.104166667
Crioulo,pov,Guinea Bissau Crioulo,African Savannah  ,Cre,,206000,NA,NA,206000,600000,NA,600000,2.912621359,0.744416873
Croatian ,hrv,Indo-European,Europe,IE,Slavic,5546590,NA,Up to 7-8 million speakers including second language speakers. ,5546590,NA,1953410,1953410,0.352182152,0.260454667
Dhimal Dhemal,dhi,Sino-Tibetan,Indic,ST,,17300,NA,NA,17300,405,NA,405,0.023410405,0.022874894
Dime Dima,dim,Omotic,Greater Abyssinia  ,AA,South Omotic,6500,NA,NA,6500,529,NA,529,0.081384615,0.075259639
Dirasha (Gidole),gdl,Cushitic,Greater Abyssinia  ,AA,Eastern Cushitic,90000,NA,NA,90000,7000,NA,7000,0.077777778,0.072164949
Dizi,mdx,Omotic,Greater Abyssinia  ,AA,North Omotic,21100,NA,NA,21100,2054,NA,2054,0.097345972,0.088710374
Djeebbana (Gunavidji),djj,Gunabidjian  ,N Australia,Aus,Ndjebbana,100,NA,NA,100,100,NA,100,1,0.5
Dorze,doz,Omotic,Greater Abyssinia  ,AA,North Omotic,20800,NA,NA,20800,3597,NA,3597,0.172932692,0.14743616
Dutch,ndl,Indo-European,Europe,IE,Germanic,21730290,NA,22000000,21865145,NA,5000000,5000000,0.22867445,0.18611476
Efik Dalabar,efi,Benue-Congo,African Savannah  ,NC,Cross River,405260,NA,NA,405260,2000000,NA,2000000,4.93510339,0.831510939
Ekegusii,guz,Benue-Congo,S Africa,NC,,2120000,NA,NA,2120000,500000,NA,500000,0.235849057,0.190839695
English ,eng,Indo-European,Europe,IE,Germanic,328008138,350000000,"508 million including second-language speakers.[11] More than 900 million (as a total of first, second and foreign language spoken according to List of countries by English-speaking population). It is also one of the six official languages of the United Nations. ",339004069,NA,169000000;561000000,365000000,1.076683242,0.518462913
Esperanto ,epo,,,Artificial ,,NA,NA,"200 to 2000 N.B. Because it is an international language, most speakers speak it as a second language. Estimates of total number of speakers tend to fall around 2 million.[99]",1100,NA,1999000,1999000,1817.272727,0.999450028
Estonian,est,Uralic,Inner Asia,Ura,Finnic,1048660,NA,1500000 (UCLA Language Materials),1274330,NA,"95% percent of the population (1,340,021; 2010 census) speak it as mother tongue ",67000,0.052576648,0.049950422
Ewe ,ewe,Kwa,African Savannah  ,NC ,Kwa,3112000,NA,"3.1 million native, 500,000 second language, = 3.6 million total (2003) ",3112000,NA,500000,500000,0.16066838,0.138427464
Fijian ,fij,Austronesian,Oceania,An ,Oceanic,330000,NA,455000,392500,320000,NA,320000,0.815286624,0.449122807
Finnish,fin,Uralic,Inner Asia,Ura,Finnic,5009390,NA,6000000 (UCLA Language Materials),5504695,NA,"2006 census: 97% of the population (5,374,781; estimation 2010) of Finnland speak Finish as their mother tongue",161243,0.029291904,0.028458307
French ,fra,Indo-European,Europe,IE ,Romance,67838450,70000000,"128 million •_Ònative and real speakers"" (includes 65 million French people[41]) and 72 million ""bilinguals"". More than 200 million total both native and second language.[42][43] French is the 8th most common language used on the internet.[44][45][46] It is also one of the six official languages of the United Nations.[31] The International Organization of the Francophonie (the global community of French-speaking peoples),[47] comprises 56 member states and governments, 3 associate members, and 16 observers.[48] ",88612817,50000000,111400000,80700000,0.910703474,0.476632552
"Frisian,Western",fry,Indo-European,Europe,IE,Germanic,467000,NA,354000,410500,NA,128000-220000,174000,0.423873325,0.297690334
Gamo-Gofa-Dawro (Dache),gmo,Omotic,Greater Abyssinia  ,AA,North Omotic,1240000,NA,NA,1240000,77883,NA,77883,0.062808871,0.059097052
Gawwada (Dullay),gwd,Cushitic,Greater Abyssinia  ,AA,Eastern Cushitic,32700,NA,NA,32700,1367,NA,1367,0.041804281,0.040126809
Gedeo Darasa,drs,Cushitic,Greater Abyssinia  ,AA,Eastern Cushitic,637000,NA,NA,637000,47950,NA,47950,0.075274725,0.07000511
Georgian,kat,Kartvelian,Greater Mesopotamia,Krt,Kartvelian,4255270,NA,NA,4255270,NA,UCLA Language Materials Project: 98% of the population (4000000) speak Georgian as their first language,80000,0.018800217,0.018453291
German ,deu,Indo-European,Europe,IE,Germanic,90294110,100000000,"101 million native (82 million Germany Standard German, 8 million Austrian Standard German, 5 million Swiss Standard German), 60 million second language in EU[34] + 5•À_20 million worldwide. Official language in: Germany, Austria, Switzerland, Liechtenstein, Luxembourg, Belgium, and Trentino-Alto Adige/S•À_dtirol ",97100000,28000000,72500000,50250000,0.517507724,0.341024771
Greek ,ell,Indo-European,Europe,IE ,Greek,13084490,12000000,"Official in Greece, Cyprus. Significant communities in Albania, Australia, Canada, Egypt, France, Georgia, Germany, Italy, Russia, South Africa, Turkey, Ukraine, the United Kingdom, and the United States. 12 million (2004), up to 10•_Ð12 million more second language ",12542245,NA,11000000,11000000,0.877035969,0.467245159
Gumuz Debatsa,guk,Nilo-Saharan,Greater Abyssinia  ,NS,,120000,NA,NA,120000,4379,NA,4379,0.036491667,0.035206908
"Gupapuyngu (Manggalili, Maraba)",guf,Pama-Nyungan,N Australia,Aus,Pama-Nyungan,450,NA,NA,450,950,NA,950,2.111111111,0.678571429
Gurung (Ghachok),gvr,Sino-Tibetan,Indic,ST,Bodic,125000,NA,NA,125000,18918,NA,18918,0.151344,0.131449853
HadiyyaAdea,hdy,Cushitic,Greater Abyssinia  ,AA,Eastern Cushitic,924000,NA,NA,924000,15889,NA,15889,0.017195887,0.016905188
Halbi Bastari,hlb,Indo-European,Indic,IE,,500000,NA,NA,500000,200000,NA,200000,0.4,0.285714286
Hamer-Banna,amf,Omotic,Greater Abyssinia  ,AA,South Omotic,42800,NA,NA,42800,7120,NA,7120,0.16635514,0.142628205
Harari Adare,har,Semitic ,Greater Abyssinia  ,AA,Semitic,21300,NA,NA,21300,7766,NA,7766,0.364600939,0.267185027
Hausa ,hau,Chadic,African,AA,West Chadic,24988000,24200000,"Official in Niger, official in Nigeria. Significant communities in Chad, Benin, Ghana, Sudan; 24 million native, ~15 million second language, = ~39 million total ",24594000,15000000,15000000,15000000,0.609904855,0.37884528
Hebrew ,heb,Semitic ,Greater Mesopotamia,AA,Semitic,5316700,NA,Up to 10 million speakers including second language speakers. ,5316700,NA,4683300,4683300,0.880865951,0.46833
Hiligaynon ,hil,Austronesian,Oceania,An,Meso-Philippine,5770000,NA,"6.9 million (2000 census), est. 4.1 million second language = ~11 million total ",6335000,NA,4100000,4100000,0.647198106,0.392908481
Hindi,hin,Indo-European,Indic,IE,Indic,181676620,200000000,"487 million (366 million with all varieties of Hindi and Urdu + 120 million as a second language in 1999[14])/ 484.5 million (258 mill. properly Hindi, 422 million all varieties of Hindi and 51,5 of Urdu according to Indian Census 2001[15] + 11 million Urdu speakers in 1993 census of Pakistan[16])/ 552 million currently. 473.5 million of 1,028 million spoken some variety of Hindi or Urdu according to Indian Census (46%).[17] In Pakistan 7.57% speak Urdu.[18] Currently the population of India is 1,173 million[19] and 168 million[20] is currently the population of Pakistan. (294.4 million speak properly Hindi as a first language): 422 million of 1,028 million spoken Hindi according to the 2001 Indian census[21]. ",190838310,120000000,189000000,154500000,0.809585874,0.447387375
Hungarian,hun,Uralic,Europe,Ura,Ugric,12501270,NA,14500000 (UCLA LM),13500635,NA,"Hungarian is spoken by 98% of the population (10,198,315; 2001 census) of Hungary as mother tongue (UCLA LM)",203966,0.015107882,0.014883031
Iban,iba,Austronesian,Southeast Asia,An,Malayic,658000,NA,NA,658000,600000,NA,600000,0.911854103,0.476947536
Icelandic,isl,Indo-European,Europe,IE,Germanic,238050,NA,"300000 (Icelandic Ministry of Education, Science and culture)",269025,NA,"97% of the Icelandic population (318,452) consider Icelandic to be their mother tongue (IME)",9553,0.035509711,0.034292012
Ilokano ,ilo,Austronesian,Oceania,An,Northern Philippines,6996600,NA,"7.7 million native (2000 census), ~2.3 second language = 10 million total ",7348300,NA,2300000,2300000,0.312997564,0.238383964
Indonesian,ind,Austronesian,Southeast Asia,An,Malayic,22800000,17100000,"23,200,000;national language in Indonesia; over 140 million second language speakers per Ethnologue. Almost 100% of the population of Indonesia speaks Bahasa Indonesia, a dialect of Malay.  ",21033000,140000000,NA,140000000,6.656206913,0.86938702
Irish Gaelic,gle,Indo-European,Europe,IE,Celtic,NA,NA,Census 2006: 1656790,1656790,,581574 (speak Irish within the education system but less often than once in the week outside the education system),581574,0.351024572,0.259821012
Italian,ita,Indo-European,Europe,IE,Romance,61696677,NA,65-75 million,65848339,NA,50000000,50000000,0.759320602,0.431598765
Japanese ,jpn,Japanese,N Coast Asia,Jap,Japanese,122080100,126000000,"130 million native, 2 million second language = 132 million total ",126026700,1000000,2000000,1500000,0.01190224,0.011762243
Jukun Takum,jbu,Benue-Congo,African Savannah  ,NC,,2440,NA,NA,2440,40000,NA,40000,16.39344262,0.942507069
Jula ,dyu,Mande,African Savannah  ,NC ,,1229000,NA,"~1.2 million native, 3•_Ð4 million second language ",1229000,200000,3500000,1850000,1.505288853,0.60084443
Kaapor Sign Language,uks,Sign Language Urub•À_,NE South America,Sign,,7,NA,NA,7,500,NA,500,71.42857143,0.986193294
Kabuverdianu,kea,Creole,Cape Verde Islands,Cre,Portuguese based,394000(1998 S. Graham),NA,NA,394000,954000,It is spoken by people living on the Isles as L1 and as L2 by people in other countries,954000,2.421319797,0.707715134
Kachama-Ganjule Gatame (Gidiccho),kcx,Omotic,Greater Abyssinia  ,AA,North Omotic,4070,NA,NA,4070,419,NA,419,0.102948403,0.093339274
Kafa,kbr,Omotic,Greater Abyssinia  ,AA,South Omotic,570000,NA,NA,570000,46720,NA,46720,0.081964912,0.07575561
Kamba ,kam,Benue-Congo,S Africa,NC ,,3960000,NA,"2.4 million native, 600,000 second language, = 3.0 million total (1989 census) ",3180000,600000,600000,600000,0.188679245,0.158730159
Kambaata,ktb,Cushitic,Greater Abyssinia  ,AA,Eastern Cushitic,570000,NA,NA,570000,79332,NA,79332,0.139178947,0.122174789
Kannada ,kan,Dravidian ,Indic,Dra ,Southern Dravidian,35327600,38400000,"significant communities in other parts of India, the United States, UK, Australia, South Africa, Canada, New Zealand, Fiji, Malaysia, Singapore, Mauritius, the United Arab Emirates & Bahrain. (2001 census)[38] 38 million native, 9 million second language, = 47 million total ",36863800,9000000,9000000,9000000,0.24414195,0.196233195
Kanuri ,knc,Saharan ,African Savannah  ,NS,Western Saharan,3240500,NA,"4.4 million native, 0.5 million second language, = 4.9 million total (data mostly from 1985) (dated data) ",3820250,500000,500000,500000,0.130881487,0.115734043
Khengkha,xkf,Sino-Tibetan,Indic,ST,,50000,NA,NA,50000,15000,NA,15000,0.3,0.230769231
"Khmer, Central",khm,Austroasiatic ,Southeast Asia,AuA,Khmer,13603400,NA,"8 million (2006) Official in Cambodia. Significant communities in Thailand, United States (California), Vietnam; 14 million native, 1 million second language, = 15 million total (2004) ",13603400,1000000,NA,1000000,0.073511034,0.068477204
Khowar,khw,Indo-European,Indic,IE,Indic,242200,NA,400000(Rosetta Panglossia; probably with L2 speakers),321100,NA,It is spoken as L2 by Gilgit (~216000) and Hunza (~87000) (Rosetta Panglossia),303000,0.943631268,0.485499119
Kinnauri,kfk,Sino-Tibetan,Indic,ST,,63800,NA,NA,63800,20000,NA,20000,0.313479624,0.238663485
Kistane (Soddo),gru,Semitic ,Greater Abyssinia  ,AA,Semitic,255000,NA,NA,255000,60538,NA,60538,0.237403922,0.191856448
Kituba Kibulamatadi,ktu,Kituba ,S Africa,Cre,,4200000,NA,NA,4200000,800000,NA,800000,0.19047619,0.16
Kongo,kon, Benue-Congo,S Africa, NC,,5955908,NA,NA,5955908,5000000,NA,5000000,0.839502558,0.456374771
Kono Konnoh,kno,Mande,African Savannah  ,NC,,205000,NA,NA,205000,25000,NA,25000,0.12195122,0.108695652
Konso Af Kareti,kxc,Cushitic,Greater Abyssinia  ,AA,Eastern Cushitic,195000,NA,NA,195000,5658,NA,5658,0.029015385,0.028197231
Koongo,kng,Benue-Congo,S Africa,NC,Bantoid,3000000,,,3000000,5000000,,5000000,1.666666667,0.625
Koorete Amaarro,kqy,Omotic,Greater Abyssinia  ,AA,North Omotic,104000,NA,NA,104000,2371,NA,2371,0.022798077,0.02228991
Krio,kri,Creole,Sierra Leone,Cre,English based,473000,NA,NA,473000,4000000,NA,4000000,8.456659619,0.894254415
Kriol,rop,Kriol,N Australia,Cre,English based,10000,NA,NA,10000,10000,NA,10000,1,0.5
Kuanua (Tolai),ksd,Austronesian,N Coast New Guinea,An,Oceanic,61000,NA,NA,61000,20000,NA,20000,0.327868852,0.24691358
Kukna Kanara,kex,Indo-European,Indic,IE,,400000,NA,NA,400000,100000,NA,100000,0.25,0.2
Kutenai,kut,Kutenai,Basin and Plains, Ktn,Kutenai,12,NA,NA,12,,Census 1990 Canada+USA: ~310,310,25.83333333,0.962732919
Kwegu Bacha,xwg,Surmic,Greater Abyssinia  ,NS,,450,NA,NA,450,51,NA,51,0.113333333,0.101796407
Lao ,lao,Tai-Kadai,Southeast Asia,"Kradai, Tai ",,3184500,NA,~19 million Lao-Phutai dialects (including Isan) (data dated) ,3184500,800000,NA,800000,0.251216832,0.200778015
Latvian,lav,Indo-European,Inner Asia,IE,Baltic,1504880,NA,NA,1504880,500000 Latgalians,NA,500000,0.332252406,0.249391485
Liberian English,lir,Creole,Liberia,Cre,,NA,NA,69000,69000,1500000,NA,1500000,21.73913043,0.956022945
Libido Marako,liq,Cushitic,Greater Abyssinia  ,AA,Eastern Cushitic,36600,NA,NA,36600,9208,NA,9208,0.251584699,0.201012924
Lingala ,lin,Benue-Congo,S Africa,NC,Bantoid,2141300,NA,"2.1 million native (2000 WCD), 7 million second language in Congo-Kinshasa (1999 WA), unknown additional second-language speakers in Congo-Brazzaville, = 9+ million total. According to Britannica (2005 Yearbook) more than 36 million people speak Lingala as lingua franca. ",2141300,NA,7000000,7000000,3.269042171,0.765755418
Lithuanian,lit,Indo-European,Inner Asia,IE,Baltic,3154180,NA,3500000 (UCLA Language Materials),3327090,NA,"80% of the 1998 population (3 600 158) spoke Lithuanian as mother tongue, the other inhabitants also speak Lit. To a certain extent (Wiki).",720000,0.216405327,0.177905606
Luba-Kasai,lua,Benue-Congo,S Africa,NC ,,6300000,NA,"7.8 million native, 0.7 million second language, = 8.5 million total (1991 UBS). Includes 1.5 million Kiluba. ",7050000,700000,700000,700000,0.09929078,0.090322581
Luganda ,lug,Benue-Congo,S Africa,NC ,,4130000,NA,"3.0 million native (1991 census), ~1 million second language (1999 WA), = ~4 million total; Rosetta Panglossia: 6000000 native, 4000000 with working knowledge",4376667,1000000,4000000,2500000,0.571210967,0.363548213
Lusoga ,xog,Benue-CongoS,S Africa,NC ,,1370845,NA,"~ 3 million native speakers (2002 census), +/- 100,000 second-language speakers (dated data) ",2185423,NA,100000,100000,0.045757742,0.043755576
Luxembourgish ,ltz,Indo-European,Europe,West Central German group of High German languages ,,320830,NA,390000,355415,50000,NA,50000,0.140680613,0.123330415
Maasai,mas,Nilotic,S Africa,NS,,1045000,NA,NA,1045000,The Kore dialect (250 people) speak Somali as L1,,250,0.000239234,0.000239177
Majang Ajo,mpe,Surmic,Greater Abyssinia  ,NS,,15300,NA,NA,15300,438,NA,438,0.028627451,0.027830728
Makah,myh,Wakashan,Alaska-Oregon,Wak,Southern Wakashan,0,NA,NA,0,2224,NA,2224,2224,1
Makasar ,mak,Austronesian,Oceania,An ,Sulawesi,1600000,NA,"1.6 million native, 400,000 second language, = 2 million total (1989) ",1600000,400000,400000,400000,0.25,0.2
Malay Malayu,zlm,Austronesian,Southeast Asia,An,Malayic,10296000,NA,NA,10296000,3000000,NA,3000000,0.291375291,0.225631769
"Malay, Macro",msa,Austronesian,Southeast Asia,An ,Malayic,39144949,23600000,"Official in Brunei, Malaysia, Singapore. Native to Malaysia, Indonesia, Thailand. Significant communities in Australia, Bahrain. 18 million native, 270 million second language (includes the mutually intelligible Bahasa Indonesia) ",31372475,NA,270000000,270000000,8.606270443,0.895901326
"Malay, Manado",xmm,Austronesian,Southeast Asia,An,Malayic,8500000,NA,NA,8500000,1500000,NA,1500000,0.176470588,0.15
"Malay, North Moluccan",max,Austronesian,Southeast Asia,An,Malayic,700000,NA,NA,700000,300000,NA,300000,0.428571429,0.3
Malayalam,mal,Dravidian ,Indic,Dra,Southern Dravidian,35893990,35700000,38000000 (WorldLingo),36531330,,10000000(WorldLingo),10000000,0.273737638,0.214908966
Male,mdy,Omotic,Greater Abyssinia  ,AA,North Omotic,53800,NA,NA,53800,6730,NA,6730,0.125092937,0.111184537
Maori,mri,Austronesian,Oceania,An,Oceanic,60260,NA,Maori language Comission 1995: 10000 fluent speakers,35130,NA,"157,110 New Zealand residents claimed they could converse in M?ori about everyday things, in the 2006 Census.",121980,3.472245944,0.776398702
Marathi Maharashtra,mar,Indo-European,Indic,IE,Indic,68100000,70000000,"Indian census:71,936,89,468 million native, 3 million second language = 71 million total ",70012927,3000000,3000000,3000000,0.04284923,0.041088614
Marithiel,mfr,Western Daly,N Australia,Aus,Western Daly,25,NA,NA,25,50,NA,50,2,0.666666667
Marti Ke,zmg,Western Daly,N Australia,Aus,,3,NA,NA,3,50,NA,50,16.66666667,0.943396226
Marwari Marwadi Barmeri,rwr,Indo-European,Indic,IE,,5600000,NA,NA,5600000,933,NA,933,0.000166607,0.000166579
Masbatenyo,msb,Austronesian,Oceania,An,Philippine,350000,NA,NA,350000,250000,NA,250000,0.714285714,0.416666667
Me•_Õen Mekan,mym,Surmic,Greater Abyssinia  ,NS,,80000,NA,NA,80000,6300,NA,6300,0.07875,0.073001159
Melo Malo,mfx,Omotic,Greater Abyssinia  ,AA,North Omotic,20200,NA,NA,20200,4657,NA,4657,0.230544554,0.187351651
Menomini,mez,Algic,E North America,Alg,Algonquian,39 (census 2000),NA,39 (Rosetta Panglossia 1997),39,NA,26 (Rosetta Panglossia),26,0.666666667,0.4
Mugom,muk,Sino-Tibetan,Indic,ST,Central,7000,,,7000,Less than 50 L2 speakers,,50,0.007142857,0.007092199
Mursi Dama,muz,Surmic,Greater Abyssinia  ,NS,,3280,NA,NA,3280,34,NA,34,0.010365854,0.010259505
Mwani Ibo,wmw,Benue-Congo,S Africa,NC,Bantoid,100000,NA,NA,100000,20000,NA,20000,0.2,0.166666667
