language,genus_pk,WALS,ISO,latitude,longitude,macroarea,name,pk
buliinindonesia,79,bui,bzq,1,128.5,Papunesia,Buli (in Indonesia),1105
bulu,274,buw,bum,3,11,Africa,Bulu,519
buma,87,bum,tkw,-11.63333333,166.8333333,Papunesia,Buma,1675
bunan,389,ghr,bfu,32.5,77,Eurasia,Bunan,982
bunuba,30,bnb,bck,-17.75,125.75,Australia,Bunuba,1385
punu,169,pnu,buh,24,107,Eurasia,Bunu (Younuo),1418
burapabir,5,bpa,bwr,10.5,12.25,Africa,Bura-Pabir,40
burarra,31,bua,bvr,-12.25,134.5833333,Australia,Burarra,1923
buriat,20,but,bxm,52,108,Eurasia,Buriat,2148
burji,545,brj,bji,5.5,37.83333333,Africa,Burji,661
burmese,380,brm,mya,21,96,Eurasia,Burmese,2496
buru,75,buu,mhs,-3.5,126.5,Papunesia,Buru,1676
burum,434,bmr,bmu,-6.5,147.3333333,Papunesia,Burum,662
burunge,1,brn,bds,-5.333333333,36,Africa,Burunge,2038
burushaski,113,bur,bsk,36.5,74.5,Eurasia,Burushaski,2507
busa,273,bus,bqp,9.666666667,4,Africa,Busa,1498
bushoong,274,bsh,buf,-4.5,21.5,Africa,Bushoong,1588
byansi,389,bya,bee,30.16666667,80.5,Eurasia,Byansi,2056
cabecar,123,cab,cjp,9.75,-83.41666667,North America,Cabí©car,293
cacua,114,cac,cbv,1.083333333,-70,South America,Cacua,1349
caddo,115,cad,cad,33.33333333,-93.5,North America,Caddo,1221
cahuilla,566,cah,chl,33.5,-116.25,North America,Cahuilla,2413
cakchiquel,250,cak,ckf,14.5,-91,North America,Cakchiquel,1716
camling,512,cml,rab,27,86.66666667,Eurasia,Camling,1386
campaaxininca,536,cax,"cni, cpc",-12,-74,South America,Campa (Axininca),2312
campapajonalasheninca,536,cpa,cjo,-10.66666667,-74.25,South America,Campa Pajonal Asheninca,786
camsa,117,cam,kbh,1.166666667,-77,South America,Camsíç,1792
canamari,206,cnm,knm,-6.5,-68.5,South America,Canamarí_,294
candoshi,118,can,cbu,-4.166666667,-77,South America,Candoshi,1589
canela,238,cnl,ram,-7,-45,South America,Canela,295
canelakraho,238,ckr,"ram, xra",-6,-46,South America,Canela-KrahíÇ,2524
cantonese,375,cnt,yue,23,113,Eurasia,Cantonese,2366
capanahua,342,cap,kaq,-7,-74,South America,Capanahua,1299
carapana,452,crp,cbc,0.833333333,-70.75,South America,Carapana,1350
carib,119,car,car,5.5,-56,South America,Carib,2378
caribdekwana,119,cde,mch,5.5,-65,South America,Carib (De'kwana),1636
carijona,119,crj,cbd,1,-73,South America,Carijona,663
carolinian,87,crl,cal,15.2,145.75,Papunesia,Carolinian,296
carrier,262,crq,crx,53.75,-123.5,North America,Carrier,664
cashibo,342,cas,cbr,-8.5,-75.5,South America,Cashibo,1499
cashinahua,342,csh,cbs,-10.5,-71.83333333,South America,Cashinahua,1025
catalan,184,ctl,cat,41.75,2,Eurasia,Catalan,2226
catawba,569,ctw,chc,35.5,-80.5,North America,Catawba,1106
catio,135,cat,cto,7.166666667,-76.33333333,South America,Catio,297
cavinena,403,cav,cav,-13.33333333,-66.5,South America,Cavineí±a,1500
cayapa,106,cay,cbi,0.666666667,-79,South America,Cayapa,2057
cayuga,192,cyg,cay,42.75,-76.75,North America,Cayuga,787
cayuvava,120,cyv,cyb,-13.5,-65.5,South America,Cayuvava,2389
cebuano,513,ceb,ceb,10,124,Papunesia,Cebuano,2018
cemuhi,87,cem,cam,-20.83333333,165.1666667,Papunesia,CíÂmuhí¬,1862
chacobo,342,cbo,cao,-12.16666667,-66.75,South America,Chíçcobo,2123
chaga,274,cga,old,-3,37,Africa,Chaga,974
chaha,10,chh,sgw,8.112935,37.93267,Africa,Chaha,1863
chai,322,cai,suq,5.333333333,35.33333333,Africa,Chai,1677
chaldeanmodern,10,cld,cld,36,43,Eurasia,Chaldean (Modern),1387
chamalal,269,chm,cji,42.55,46.05,Eurasia,Chamalal,520
chambri,231,chb,can,-4.166666667,143.0833333,Papunesia,Chambri,975
chameastern,519,cme,cjm,11.33333333,108.5,Eurasia,Cham (Eastern),1064
chamorro,74,cha,cha,13.45,144.75,Papunesia,Chamorro,2508
chamwestern,519,chw,cja,12,105.5,Eurasia,Cham (Western),1924
chang,388,chg,nbc,26.33333333,94.75,Eurasia,Chang,1750
chantyal,389,chn,chx,28.58333333,83.41666667,Eurasia,Chantyal,1828
chaozhou,375,chz,nan,23.66666667,116.6666667,Eurasia,Chaozhou,41
chastacosta,262,cco,,42.66666667,-124,North America,Chasta Costa,298
chatinonopala,332,cht,cya,16.08333333,-97.16666667,North America,Chatino (Nopala),42
chatinosierraoccidental,332,cso,ctp,16.25,-97.33333333,North America,Chatino (Sierra Occidental),2133
chatinotataltepec,332,ctt,cta,16.16666667,-97.58333333,North America,Chatino (Tataltepec),299
chatinoyaitepec,332,cya,ctp,16.25,-97.25,North America,Chatino (Yaitepec),1717
chaudangsi,389,chd,cdn,30,80.25,Eurasia,Chaudangsi,976
chavacano,331,cvc,cbk,7,122.0833333,Papunesia,Chavacano,788
chayahuita,116,chy,cbt,-5.5,-77,South America,Chayahuita,1163
chechen,268,chc,che,43.25,45.83333333,Eurasia,Chechen,2149
chehalisupper,364,chl,cjh,46.58333333,-123,North America,Chehalis (Upper),1637
chekeholo,87,ckh,mrn,-8.333333333,159.6666667,Papunesia,Cheke Holo,43
chemakum,131,cmk,xch,48.08333333,-122.9166667,North America,Chemakum,300
chemehuevi,477,cmh,ute,34.33333333,-115.1666667,North America,Chemehuevi,2134
chepang,512,cpn,cdm,27.66666667,84.75,Eurasia,Chepang,1829
cherokee,191,che,chr,35.5,-83.5,North America,Cherokee,2214
cheyenne,17,cyn,chy,47,-95,North America,Cheyenne,920
chichewa,274,cic,nya,-14,34,Africa,Chichewa,1950
chichimecajonaz,340,cjo,pei,21.66666667,-100.5,North America,Chichimeca-Jonaz,1065
chickasaw,260,cck,cic,34,-88,North America,Chickasaw,1444
chicomuceltec,250,cec,cob,15.5,-92.25,North America,Chicomuceltec,301
chimariko,172,chi,cid,41,-123,North America,Chimariko,1889
chimila,129,cma,cbg,10,-74,South America,Chimila,302
chinanteccomaltepec,335,ccm,cco,17.58333333,-96.41666667,North America,Chinantec (Comaltepec),2039
chinanteclealao,335,cle,cle,17.33333333,-95.91666667,North America,Chinantec (Lealao),2414
chinantecpalantla,335,cpl,cpa,18.83333333,-96.75,North America,Chinantec (Palantla),1890
chinantecquiotepec,335,chq,chq,17.58333333,-96.66666667,North America,Chinantec (Quiotepec),2073
chinantecsanfelipeusila,335,csf,cuc,17.91666667,-96.5,North America,Chinantec (San Felipe Usila),303
chinantecsochiapan,335,csc,cso,17.75,-96.66666667,North America,Chinantec (Sochiapan),44
chinantectepetotutla,335,cte,cnt,17.83333333,-96.5,North America,Chinantec (Tepetotutla),304
chinesesignlanguage,330,csl,csl,35,115,Eurasia,Chinese Sign Language,305
chinmara,386,cmr,mrh,23,93.16666667,Eurasia,Chin (Mara),1751
chinooklower,346,ckl,chh,46.25,-123.5,North America,Chinook (Lower),1793
chinookupper,346,cku,wac,45.5,-122.5,North America,Chinook (Upper),1590
chinsiyin,386,chs,csy,23.83333333,94,Eurasia,Chin (Siyin),1752
chintiddim,386,cti,ctd,23.33333333,93.66666667,Eurasia,Chin (Tiddim),2019
chipaya,470,cpy,cap,-18.75,-67.83333333,South America,Chipaya,2667
chipewyan,262,chp,chp,59,-106,North America,Chipewyan,2058
chippewaredlakeandpillager,17,cpw,ciw,48,-95,North America,Chippewa (Red Lake and Pillager),45
chiquitano,133,cqt,cax,-17.5,-60,South America,Chiquitano,1222
chiriguano,457,crg,gui,-23.66666667,-64.33333333,South America,Chiriguano,921
chitimacha,134,ctm,ctm,29.66666667,-91,North America,Chitimacha,2040
chocho,339,cch,coz,17.66666667,-97.41666667,North America,Chocho,977
choctaw,260,cct,cho,32.25,-88.5,North America,Choctaw,2186
chol,250,col,"cti, ctu",17.75,-92.5,North America,Chol,789
cholon,136,cln,"cht, clh",-8,-77.5,South America,Cholí_n,1066
chontalhighland,413,cho,chd,16.25,-95.75,North America,Chontal (Highland),1107
chontalhuamelultecoaxaca,413,chx,clo,16,-95.75,North America,Chontal (Huamelultec Oaxaca),1540
chontalmaya,250,cmy,chf,18.16666667,-92.58333333,North America,Chontal Maya,1925
chorote,249,crt,"crq, crt",-22.5,-62.5,South America,Chorote,868
chorti,250,coi,caa,14.83333333,-89.25,North America,Chortí_,665
chrau,63,chr,crw,10.75,107.5,Eurasia,Chrau,2234
chru,519,crh,cje,11.5,108.5,Eurasia,Chru,46
chuave,438,cve,cjv,-6.116666667,145.1166667,Papunesia,Chuave,1108
chuj,250,chj,"cac, cnm",15.91666667,-91.58333333,North America,Chuj,1109
chukchi,139,chk,ckt,67,-173,Eurasia,Chukchi,2509
chulupi,249,chu,cag,-23.5,-60.5,South America,Chulupí_,1300
chulym,19,cly,clw,54.33333333,89.66666667,Eurasia,Chulym,47
chumashbarbareno,141,cba,boi,34.5,-120.25,North America,Chumash (Barbareí±o),1951
chumashineseno,141,cin,inz,34.66666667,-120.25,North America,Chumash (Ineseí±o),1110
chumburung,275,cum,ncu,7.75,0.25,Africa,Chumburung,666
chuukese,87,cuu,chk,7.333333333,151.75,Papunesia,Chuukese,1026
chuvash,19,chv,chv,55.5,47.5,Eurasia,Chuvash,2344
ciluba,274,cil,lua,-6,22,Africa,CiLuba,1501
clallam,360,cla,clm,48.08333333,-123.75,North America,Clallam,667
coahuilteco,142,coa,xcw,28,-100,North America,Coahuilteco,1223
cocama,457,coc,cod,-5,-74.5,South America,Cocama,1926
cocopa,170,ccp,coc,32.33333333,-115,North America,Cocopa,2092
coeurdalene,362,coe,crd,47.25,-116.5,North America,Coeur d'Alene,1164
cofan,143,cof,con,0.166666667,-77.16666667,South America,Cofíçn,1445
cogui,130,cog,kog,11,-73.83333333,South America,Cogui,668
colac,557,clc,,-38.33333333,143.5,Australia,Colac,306
columbiawenatchi,362,cwe,col,47.5,-120,North America,Columbia-Wenatchi,48
comanche,477,cmn,com,33.5,-101.5,North America,Comanche,2419
comecrudo,144,cmc,xcm,25.83333333,-99,North America,Comecrudo,307
comorian,274,com,swb,-12,44,Africa,Comorian,308
comox,360,cmx,coo,50.16666667,-125,North America,Comox,1446
cooshanis,327,coo,csz,43.5,-124.1666667,North America,Coos (Hanis),2427
coptic,8,cop,cop,26,32,Africa,Coptic,2187
cora,471,cor,crn,22.16666667,-104.8333333,North America,Cora,2020
cornish,187,crn,cor,50.33333333,-5,Eurasia,Cornish,1992
creek,260,crk,mus,34,-85,North America,Creek,922
creeplains,17,cre,crk,54,-110,North America,Cree (Plains),2428
creeswampy,17,cea,"crj, csw",56,-90,North America,Cree (Swampy),1591
crimeantatar,19,cri,crh,45,34.08333333,Eurasia,Crimean Tatar,1067
crow,391,cro,cro,47,-108,North America,Crow,1541
cua,63,cua,cua,15.25,108.5,Eurasia,Cua,869
cubeo,452,cub,cub,1.333333333,-70.5,South America,Cubeo,2259
cuiba,164,cui,cui,6.5,-70,South America,Cuiba,1165
cuica,418,cuc,,9,-70.5,South America,Cuica,979
cuicatec,334,ctc,"cut, cux",17.83333333,-96.83333333,North America,Cuicatec,309
cuitlatec,145,cut,,17.5,-101,North America,Cuitlatec,310
culina,24,cul,cul,-6,-70.5,South America,Culina,790
cupeno,566,cup,cup,33.16666667,-116.5,North America,Cupeí±o,669
curripaco,549,cur,kpc,2.5,-68.5,South America,Curripaco,311
czech,185,cze,ces,50,15,Eurasia,Czech,2215
daa,526,daa,kzf,-1,119.5833333,Papunesia,Da'a,521
daba,5,dab,"dbq, dkx",10.16666667,13.75,Africa,Daba,522
dabida,274,dbd,dav,-4,38.66666667,Africa,Dabida,670
dadibi,411,dad,mps,-6.55,144.5833333,Papunesia,Dadibi,1224
dadjriwale,277,ddj,god,5.25,-5.666666667,Africa,Dadjriwalí©,2579
daga,146,dag,dgz,-10,149.3333333,Papunesia,Daga,2408
dagaare,290,dga,dga,10.5,-2.666666667,Africa,Dagaare,1864
dagbani,290,dgb,dag,9.583333333,-0.5,Africa,Dagbani,2188
dagur,20,dgr,dta,48,124,Eurasia,Dagur,2260
dahalo,546,dah,dal,-2.333333333,40.5,Africa,Dahalo,1447
dajudarfur,318,ddf,daj,12.25,25.25,Africa,Daju (Dar Fur),1225
dakota,391,dak,dak,45,-93.5,North America,Dakota,870
damana,130,dam,mbp,11,-73.5,South America,Damana,1351
dan,273,dan,daf,7.5,-8,Africa,Dan,2074
danblowo,273,dbw,daf,7.333333333,-8.166666667,Africa,Dan (Blowo),49
dangaleatwestern,2,dnw,daa,12.16666667,18.33333333,Africa,Dangalí©at (Western),1226
danilowergrandvalley,432,dni,dni,-4.333333333,138.8333333,Papunesia,Dani (Lower Grand Valley),2424
danish,181,dsh,dan,56,10,Eurasia,Danish,2216
darai,182,dar,dry,24,84,Eurasia,Darai,1227
dargwa,266,drg,dar,42.25,47.41666667,Eurasia,Dargwa,1678
dari,183,dri,prs,35,66,Eurasia,Dari,791
darma,389,drm,drd,30,79.75,Eurasia,Darma,1542
datooga,320,dat,tcc,-4.333333333,35.33333333,Africa,Datooga,312
daw,261,daw,kwa,-0.25,-67.08333333,South America,Dí¢w,1301
day,279,day,dai,8.75,17.83333333,Africa,Day,1302
defaka,288,def,afn,4.583333333,7.5,Africa,Defaka,523
degema,295,deg,deg,4.75,6.75,Africa,Degema,1388
degexitan,262,dgx,ing,62,-160,North America,Degexit'an,313
deni,24,den,dny,-6,-67,South America,Dení_,524
desano,452,des,des,0.833333333,-69.83333333,South America,Desano,1027
deti,210,det,shg,-20.5,24.5,Africa,Deti,1228
deuri,383,deu,der,26,90.25,Eurasia,Deuri,1111
deutschegebardensprache,330,dge,gsg,52,11,Eurasia,Deutsche Gebí_rdensprache,525
dhaasanac,545,dha,dsh,4.666666667,36.33333333,Africa,Dhaasanac,1502
dhalandji,559,dhl,dhl,-22.08,115,Australia,Dhalandji,2560
dharawal,557,dhw,tbh,-34.5,150.5,Australia,Dharawal,1028
dhargari,559,dhr,dhr,-23.75,114.9166667,Australia,Dhargari,1448
dharumbal,560,dhb,bjy,-22.75,150.5,Australia,Dharumbal,1029
dhimal,511,dhm,dhi,26.66666667,87.75,Eurasia,Dhimal,50
dhivehi,182,dhi,div,4.166666667,73.5,Eurasia,Dhivehi,1112
dhurga,557,dhu,dhu,-35.66666667,150,Australia,Dhurga,671
dhuwaldatiwuy,559,dda,duj,-12.16666667,136.25,Australia,Dhuwal (Dí_tiwuy),51
didinga,322,did,did,4.5,33.5,Africa,Didinga,1927
dieguenomesagrande,170,die,dih,32.66666667,-116.1666667,North America,Diegueí±o (Mesa Grande),2327
digaro,376,dig,mhu,28.41666667,96,Eurasia,Digaro,1928
dimasa,383,dms,dis,25.5,93,Eurasia,Dimasa,1449
dime,9,dim,dim,6.166666667,36.25,Africa,Dime,1543
ding,274,dng,diz,-4.333333333,19.5,Africa,Ding,526
dinka,320,din,dip,8.5,28,Africa,Dinka,2203
diolafogny,276,dio,dyo,13,-16.25,Africa,Diola-Fogny,2390
diolakasa,276,csk,csk,12.5,-16.75,Africa,Diola-Kasa,2553
diyari,558,diy,dif,-28,139,Australia,Diyari,2328
dizi,538,diz,mdx,6.166666667,36.5,Africa,Dizi,2075
djabugay,560,dja,dyy,-16.75,145.5833333,Australia,Djabugay,1450
djambarrpuyngu,559,djm,djr,-12.16666667,135.5,Australia,Djambarrpuyngu,1503
djapu,559,djp,duj,-12.66666667,136,Australia,Djapu,2248
djaru,559,djr,ddj,-18.75,128,Australia,Djaru,2021
djinang,559,djn,dji,-12.33333333,134.8333333,Australia,Djinang,1303
djingili,562,dji,jig,-17.75,134,Australia,Djingili,2059
dlamenggwa,365,dlm,kbv,-3.55,141.0333333,Papunesia,Dla (Menggwa),2647
dlaproper,365,der,kbv,-3.583333333,141,Papunesia,Dla (Proper),1753
dobel,75,dob,kvo,-6.25,134.6666667,Papunesia,Dobel,792
dogri,182,dgi,"dgo, xnr",33,75,Eurasia,Dogri,52
doko,274,dok,ngc,3,23.08333333,Africa,Doko,923
dolgan,19,dol,dlg,71.25,98,Eurasia,Dolgan,53
domari,182,dom,rmt,32,35,Eurasia,Domari,1592
dong,404,don,"doc, kmc",27,109,Eurasia,Dong,1952
dongo,287,dgo,doo,3,30,Africa,Dongo,1389
donnoso,296,dds,dds,14.33333333,-3.583333333,Africa,Donno So,2556
doutai,228,dou,tds,-3.333333333,138.1666667,Papunesia,Doutai,672
doyayo,279,doy,dow,8.666666667,13.08333333,Africa,Doyayo,2249
drehu,87,dre,dhv,-21,167.25,Papunesia,Drehu,2402
duala,274,dua,dua,4,9.416666667,Africa,Duala,1451
duka,286,duk,dud,11.16666667,5.083333333,Africa,Duka,1794
dullaygollango,545,dug,gwd,5.5,37.25,Africa,Dullay (Gollango),673
dulong,385,dul,duu,28,98.33333333,Eurasia,Dulong,1166
duma,274,dma,dma,-0.95,13,Africa,Duma,980
dumagatcasiguran,514,dca,dgc,16.33333333,122,Papunesia,Dumagat (Casiguran),314
dumaki,182,dmk,dmk,36.16666667,74,Eurasia,Dumaki,1390
dumi,512,dmi,dus,27.25,86.66666667,Eurasia,Dumi,1891
dumo,392,dum,vam,-2.683333333,141.3,Papunesia,Dumo,2189
duna,431,dun,duc,-5.5,142.5,Papunesia,Duna,793
dutch,181,dut,nld,52.5,6,Eurasia,Dutch,2345
dutchbrabantic,181,dbr,nld,50.75,4.5,Eurasia,Dutch (Brabantic),54
dutchlimburg,181,dli,nld,51,5.5,Eurasia,Dutch (Limburg),55
dutchzeeuws,181,duz,zea,51.5,3.75,Eurasia,Dutch (Zeeuws),56
dyimini,290,dym,dyi,8.416666667,-4.416666667,Africa,Dyimini,674
dyirbal,560,dyi,dbl,-17.83333333,145.5833333,Australia,Dyirbal,2349
dyula,292,dyu,dyu,9.833333333,-4.666666667,Africa,Dyula,315
ebira,278,ebi,igb,8.166666667,7,Africa,Ebira,1030
edolo,111,edo,etr,-6.166666667,142.6666667,Papunesia,Edolo,1068
efatesouth,87,erk,erk,-17.75,168.4166667,Papunesia,Efate (South),2638
efik,293,efi,efi,4.916666667,8.5,Africa,Efik,1865
ega,275,ega,ega,5.5,-5.5,Africa,Ega,1230
eipo,446,eip,eip,-4.333333333,140.0833333,Papunesia,Eipo,527
ejagham,274,eja,etu,5.416666667,8.666666667,Africa,Ejagham,1452
ekari,436,eka,ekg,-3.833333333,135.5,Papunesia,Ekari,2333
ekoti,274,eko,eko,-16.5,39.5,Africa,Ekoti,794
elseng,256,els,mrf,-3,140.5,Papunesia,Elseng,57
emai,295,ora,ema,7.083333333,5.916666667,Africa,Emai,196
embaloh,525,eml,emb,1.166666667,112.3333333,Papunesia,Embaloh,58
emberachami,135,emc,cmi,5,-76,South America,Embera Chami,871
embera northern,135,emb,emp,6.833333333,-77.16666667,South America,Emberíç (Northern),1953
emerillon,457,eme,eme,3.166666667,-52.41666667,South America,í_mí©rillon,2664
emmi,564,emm,amy,-13.5,130,Australia,Emmi,1167
enets,463,ene,"enf, enh",67.5,86.5,Eurasia,Enets,1544
enga,433,ena,enq,-5.5,143.6666667,Papunesia,Enga,675
engenni,295,egn,enn,5.166666667,6.383333333,Africa,Engenni,1993
enggano,520,eno,eno,-5.416666667,102.25,Papunesia,Enggano,1795
english,181,eng,eng,52,0,Eurasia,English,2551
enya,274,eny,gey,-0.5,25.25,Africa,Enya,316
epenapedee,135,epe,sja,3,-77,South America,Epena Pedee,2457
erromangan,87,err,erg,-18.83333333,169.1666667,Papunesia,Erromangan,2150
eseejja,403,ese,ese,-11,-66,South America,Ese Ejja,1994
esmeraldeno,402,esm,,0.333333333,-79.83333333,South America,Esmeraldeí±o,1069
esselen,159,ess,esq,36.25,-121.75,North America,Esselen,676
estonian,465,est,est,59,26,Eurasia,Estonian,2235
etsako,295,ets,ets,7.25,6.5,Africa,Etsako,59
eudeve,475,eud,opt,29.16666667,-109.6666667,North America,Eudeve,1679
even,21,evn,eve,68,130,Eurasia,Even,2204
evenki,21,eve,evn,56,125,Eurasia,Evenki,2535
ewe,275,ewe,ewe,6.333333333,0.416666667,Africa,Ewe,2443
eweanglo,275,ewa,ewe,6,1,Africa,Ewe (Anglo),317
ewondo,274,ewo,ewo,4,12,Africa,Ewondo,2135
eyak,264,eya,eya,60.5,-145,North America,Eyak,1391
faroese,181,far,fao,62,-7,Eurasia,Faroese,1113
fasu,440,fas,faa,-6.583333333,143.3333333,Papunesia,Fasu,1929
fefe,274,fef,fmp,5.25,10.16666667,Africa,Fe'fe',1304
fijian,87,fij,fij,-17.83333333,178,Papunesia,Fijian,2510
fijianwayan,87,fiw,wyy,-17,177.3,Papunesia,Fijian (Wayan),60
finnish,465,fin,fin,62,25,Eurasia,Finnish,2546
finnishsignlanguage,330,fsl,fse,62,26,Eurasia,Finnish Sign Language,318
fiote,274,fio,kng,-5.5,14,Africa,Fiote,872
foe,444,foe,foi,-6.5,143.5,Papunesia,Foe,983
folopa,411,pdp,ppo,-7,144.5,Papunesia,Folopa,737
fongbe,275,fon,fon,6.416666667,2.166666667,Africa,Fongbe,1305
fordata,75,frd,frd,-6.75,131.5,Papunesia,Fordata,924
fore,430,for,for,-6.75,145.5,Papunesia,Fore,1830
fox,17,fox,sac,43,-83,North America,Fox,873
french,184,fre,fra,48,2,Eurasia,French,2550
frisian,181,fri,frs,53,5,Eurasia,Frisian,1680
frisianeastern,181,fea,frs,53.58333333,7.5,Eurasia,Frisian (Eastern),61
frisiannorth,181,fno,frr,54.5,9,Eurasia,Frisian (North),62
frisianwestern,181,frw,fry,53,6,Eurasia,Frisian (Western),528
fulaburkinafaso,276,fbf,fuh,14,0,Africa,Fula (Burkina Faso),64
fulacameroonian,276,fua,fub,9.166666667,13.5,Africa,Fula (Cameroonian),1892
fulaguinean,276,fgu,fuf,11.5,-12.5,Africa,Fula (Guinean),529
fulamauritanian,276,fma,fuc,16.5,-13.75,Africa,Fula (Mauritanian),677
fulanigerian,276,fni,fuv,8.166666667,10.5,Africa,Fula (Nigerian),2227
fulanigombe,276,fgo,fub,10.25,11.25,Africa,Fulani (Gombe),65
fulasenegal,276,fus,fuc,15,-14,Africa,Fula (Senegal),319
fulfuldemaasina,276,fum,ffm,15,-5,Africa,Fulfulde (Maasina),66
fulliptako,276,fli,fuh,13.5,0.5,Africa,Ful (Liptako),63
fulnio,237,ful,fun,-8,-37.5,South America,FulniíÇ,1893
fur,306,fur,fvr,13.5,25,Africa,Fur,2367
futunaaniwa,87,fut,fut,-19.53333333,170.2166667,Papunesia,Futuna-Aniwa,2093
futunaeast,87,fue,fud,-14.33333333,-178.1666667,Papunesia,Futuna (East),981
fuzhou,375,fuz,cdo,26,119.5,Eurasia,Fuzhou,1231
fyem,283,fye,pym,9.583333333,9.333333333,Africa,Fyem,2173
ga,275,ga,gaa,5.666666667,-0.166666667,Africa,Gí£,1866
gaagudju,49,gaa,gbu,-12.58333333,132.8333333,Australia,Gaagudju,1352
gaalpu,559,glp,dhg,-12.66666667,136.75,Australia,Gaalpu,678
gaanda,5,gnd,gqa,10.33333333,12.58333333,Africa,Ga'anda,1168
gadabakondekor,148,gdk,gdb,18.75,83.5,Eurasia,Gadaba (Kondekor),2552
gade,278,gad,ged,8.666666667,7.416666667,Africa,Gade,530
gadsup,430,gds,gaj,-6.25,146,Papunesia,Gadsup,1954
gaelicscots,187,gae,gla,57,-4,Eurasia,Gaelic (Scots),2236
gagauz,19,gag,gag,46.33333333,28.66666667,Eurasia,Gagauz,925
gahuku,430,gah,gah,-6,145.4166667,Papunesia,Gahuku,1593
galela,494,gll,gbi,2.416666667,128.3333333,Papunesia,Galela,1169
galician,184,glc,glg,43,-8,Eurasia,Galician,531
galo,382,gal,adi,28.16666667,94.66666667,Eurasia,Galo,1453
gamilaraay,557,gml,kld,-29.83333333,149.5,Australia,Gamilaraay,67
gamo,13,gam,gmo,6.666666667,37.25,Africa,Gamo,1545
gapapaiwa,87,gap,pwg,-9.75,149.8333333,Papunesia,Gapapaiwa,1546
garifuna,550,grf,cab,15.66666667,-88,North America,Garí_funa,1995
garo,383,gar,grt,25.66666667,90.5,Eurasia,Garo,2403
garrwa,47,grr,gbc,-17.08333333,137.1666667,Australia,Garrwa,2174
garus,437,grs,gyb,-4.95,145.6666667,Papunesia,Garus,532
gaviao,455,gav,gvo,-10.66666667,-62,South America,Gavií£o,1504
gayo,521,gay,gay,4.5,97.5,Papunesia,Gayo,679
gbayakara,537,gbk,gya,6,15,Africa,Gbaya Kara,1547
gbeyabossangoa,537,gbb,gbp,6.666666667,17.5,Africa,Gbeya Bossangoa,2276
gela,87,gel,nlg,-9.083333333,160.25,Papunesia,Gela,1548
gelao,405,gla,gio,22.91666667,105.5,Eurasia,Gelao,1232
georgian,205,geo,kat,42,44,Eurasia,Georgian,2526
german,181,ger,deu,52,10,Eurasia,German,2539
germanappenzell,181,gpz,gsw,47.33333333,9.333333333,Eurasia,German (Appenzell),68
germanbavarian,181,gba,bar,49,11.5,Eurasia,German (Bavarian),69
germanberlin,181,gbl,deu,52.5,13.33333333,Eurasia,German (Berlin),70
germanbern,181,gbe,gsw,47,7.416666667,Eurasia,German (Bern),71
germanhannover,181,gha,deu,52.41666667,9.666666667,Eurasia,German (Hannover),72
germanmansfeldisch,181,gma,deu,51.58333333,11.5,Eurasia,German (Mansfeldisch),73
germanostschweiz,181,gos,gsw,47.41666667,9.25,Eurasia,German (Ostschweiz),74
germanripuarian,181,grp,ksh,51,7,Eurasia,German (Ripuarian),75
germanthurgau,181,gtg,gsw,47.58333333,9.166666667,Eurasia,German (Thurgau),76
germanthuringian,181,gth,deu,51,11,Eurasia,German (Thuringian),77
germantimisoara,181,gti,deu,45.75,21.25,Eurasia,German (Timisoara),78
germanupperaustrian,181,gau,bar,47,14,Eurasia,German (Upper Austrian),79
germanviennese,181,gvi,bar,48.16666667,16.33333333,Eurasia,German (Viennese),80
germanwestphalian,181,gwe,wep,52,7.5,Eurasia,German (Westphalian),82
germanzurich,181,gzu,gsw,47.41666667,8.5,Eurasia,German (Zurich),83
ghotuo,295,gho,aaa,7.083333333,5.75,Africa,Ghotuo,84
ghulfan,307,nbh,ghl,12,31,Africa,Ghulfan,822
gidabal,557,gid,bdy,-28.41666667,152.4166667,Australia,Gidabal,1638
gidar,5,gdr,gid,10,14,Africa,Gidar,85
gilaki,183,gil,glk,37.33333333,50,Eurasia,Gilaki,926
gimira,13,gim,bcq,7,35.75,Africa,Gimira,1930
gitksan,352,git,git,55.33333333,-127.75,North America,Gitksan,1549
giziga,5,giz,"gis, giz",10.33333333,14.16666667,Africa,Giziga,86
goajiro,550,goa,guc,12,-72,South America,Goajiro,2205
godie,277,gdi,god,5.416666667,-5.833333333,Africa,Godií©,1031
godoberi,269,god,gdo,42.66666667,46.08333333,Eurasia,Godoberi,1955
goemai,6,goe,ank,8.666666667,9.75,Africa,Goemai,1639
gogodala,162,gog,ggw,-8.083333333,142.8333333,Papunesia,Gogodala,796
gojri,182,goj,gju,32.75,76.25,Eurasia,Gojri,533
gokana,293,gok,gkn,4.583333333,7.333333333,Africa,Gokana,1796
gola,291,gol,gol,7.25,-10.83333333,Africa,Gola,1233
golin,438,gln,gvf,-6.333333333,144.75,Papunesia,Golin,1681
gondi,147,gon,"ggo, gno",19,81,Eurasia,Gondi,1718
gooniyandi,30,goo,gni,-18.33333333,126.3333333,Australia,Gooniyandi,2481
gorontalo,513,grt,gor,0.5,122,Papunesia,Gorontalo,87
gorowa,1,gor,gow,-4.5,36.5,Africa,Gorowa,680
greatandamanese,163,gan,apq,12,92.66666667,Eurasia,Great Andamanese,1754
grebo,277,grb,grj,5,-8,Africa,Grebo,2444
