WALS.feature.name,WALS.feature.num,long.feature.name,WALS.feature.category,ld.feature.category,ld.level.label,readable.level.label,ld.complexity
IGGNUM,49,Number of Cases,nominal categories,cases,9,Exclusively borderline morphological case-marking,1
MORASP,36,The Associative Plural,nominal categories,"negation, plurality, interrogatives",1,adddive also,1
MORASP,36,The Associative Plural,nominal categories,"negation, plurality, interrogatives",2,bound special,1
MORASP,36,The Associative Plural,nominal categories,"negation, plurality, interrogatives",3,non-bound special,1
MORASP,36,The Associative Plural,nominal categories,"negation, plurality, interrogatives",4,none,0
SIEALI,100,Alignment of Verbal Person Marking,simple clauses,verb morphology,1,none,0
SIEALI,100,Alignment of Verbal Person Marking,simple clauses,verb morphology,2,accusative,1
SIEALI,100,Alignment of Verbal Person Marking,simple clauses,verb morphology,3,ergative,1
SIEALI,100,Alignment of Verbal Person Marking,simple clauses,verb morphology,4,Active alignment,1
SIEALI,100,Alignment of Verbal Person Marking,simple clauses,verb morphology,5,Hierarchical alignment,1
SIEALI,100,Alignment of Verbal Person Marking,simple clauses,verb morphology,6,Split alignment,1
SIEVPA,102,Order of Person Markers on the Verb,simple clauses,agreement,1,not both,0
SIEVPA,102,Order of Person Markers on the Verb,simple clauses,agreement,2,A precedes P,0
SIEVPA,102,Order of Person Markers on the Verb,simple clauses,agreement,3,P precedes A,0
SIEVPA,102,Order of Person Markers on the Verb,simple clauses,agreement,4,Person marking of the A or P argument,1
SIEVPA,102,Order of Person Markers on the Verb,simple clauses,agreement,5,A and P are fused,1
